Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
FlinnScientificInc,,10/1/2014,5/2/2014,,Indiana,74,,
FluxTechnologyServicesLLC,,,,,Indiana,,,
FocusonSuretyLLC-SecurityBreach,,1/9/2014,1/1/2013,,Indiana,11,,
FranciscanAllianceInc,,6/13/2014,4/28/2014,,Indiana,4,,
FranciscanStFrancisHealth-SecurityBreach,,5/30/2014,4/28/2014,,Indiana,3,,
FranciscanStFrancisHealth-SecurityBreach,,10/20/2014,,,Indiana,1,,
FreedomManagementGroupLLCdbaTheNatural,,8/13/2014,4/22/2014,,Indiana,118,,
FreshologyInc,,7/15/2014,,,Indiana,1,,
FSSA-Breach Notification,,11/12/2014,11/12/2014,,Indiana,1,,
FSSA-Breach Notification,,5/19/2014,5/7/2014,,Indiana,2,,
FSSA-Breach Notification,,11/21/2014,11/20/2014,,Indiana,1,,
FSSA-Breach Notification,,3/27/2014,3/21/2014,,Indiana,5,,
FSSA-Breach Notification,,3/31/2014,3/28/2014,,Indiana,7,,
FSSA-Breach Notification,,2/4/2014,2/3/2014,,Indiana,1,,
FSSA-Breach Notification,,3/13/2014,3/10/2014,,Indiana,1,,
FSSA-Breach Notification,,2/6/2014,,,Indiana,32,,
FSSA-Breach Notification,,3/19/2014,3/13/2014,,Indiana,4,,
FSSA-Breach Notification,,12/10/2014,12/9/2014,,Indiana,1,,
FSSA-Breach Notification,,12/18/2014,11/10/2014,,Indiana,1,,
FSSA-Breach Notification,,12/19/2014,12/16/2014,,Indiana,1,,
FSSA-Breach Notification,,2/28/2014,2/28/2014,,Indiana,12,,
FSSA-Breach Notification,,6/23/2014,6/9/2014,,Indiana,1,,
FSSA-Breach Notification,,10/23/2014,10/13/2014,,Indiana,3,,
FSSA-Breach Notification,,11/25/2014,11/18/2014,,Indiana,1,,
FujifilmNorthAmericaCorporationGraphiSystemsDivision,,2/14/2014,10/21/2013,,Indiana,2,,
FujifilmNorthAmericaCorporationGraphiSystemsDivision,,3/5/2014,1/14/2014,,Indiana,2,,
GeekfaceLLC,,8/24/2014,8/5/2014,,Indiana,23,,
Gelsosomo'sPizzeria,,,,,Indiana,,,
Genworth-SecurityBreach,,10/7/2014,9/13/2014,,Indiana,1,,
GiantEagleInc,,6/13/2014,5/24/2014,,Indiana,9,,
GingerbreadShedCorporation,,5/7/2014,11/25/2013,,Indiana,122,,
GodivaChocolatierInc,,11/26/2014,10/16/2014,,Indiana,384,,
GoodwillofSouthernIndiana-SecurityBreach,,9/2/2014,2/10/2013,,Indiana,,,
GreenleafBookGroupLLC,,1/29/2014,1/18/2014,,Indiana,4,,
GuideStoneFinancialResourcesoftheSouthernBaptistConvention,,2/24/2014,11/7/2013,,Indiana,31,,
HanoverFoodsCorporation,,5/21/2014,4/7/2014,,Indiana,38,,
HarborFreightToolsUSAINC-SecurityBreach,,12/11/2014,11/13/2014,,Indiana,1,,
HarryBarker,,8/9/2014,5/22/2014,,Indiana,19,,
HeartlandBank-SecurityBreach,,9/5/2014,7/30/2014,,Indiana,7,,
"Hewitt, Aon",,7/17/2014,3/1/2013,,Indiana,4,,
Highlands-CashiersHospital,,11/26/2014,5/1/2012,,Indiana,45,,
HolidayMotel,,12/4/2014,12/1/2013,,Indiana,16,,
HoustonianHotelClubandSpa,,7/9/2014,12/28/2013,,Indiana,11,,
HRBTaxGroupInc,,2/10/2014,1/11/2014,,Indiana,161,,
Hubbard-BertInc,,5/13/2014,4/24/2014,,Indiana,6,,
Humana,,5/23/2014,4/4/2014,,Indiana,1,,
IDEM-SecurityBreach,,5/1/2014,3/19/2014,,Indiana,1,,
IDEM-SecurityBreach,,4/2/2014,9/13/2007,,Indiana,1,,
IDEM-SecurityBreach,,3/31/2014,9/24/2007,,Indiana,1,,
IDEM-SecurityBreach,,5/29/2014,8/18/2007,,Indiana,1,,
IDEM-SecurityBreach,,9/30/2014,10/15/2007,,Indiana,1,,
IDEM-SecurityBreach,,3/20/2014,12/9/2013,,Indiana,3,,
ImhoffandAssociatesPC,,8/26/2014,6/27/2014,,Indiana,87,,
IndianaDepartmentofInsurance-SecurityBreach,,4/2/2014,3/24/2014,,Indiana,33,,
IndianaDepartmentofRevenue-Breach Notification,,11/12/2014,,,Indiana,0,,
IndianaDepartmentofRevenue-Breach Notification,,1/21/2014,1/9/2014,,Indiana,1,,
IndianapolisArtCenter,,12/11/2014,12/3/2014,,Indiana,128,,
IndianapolisStar*,,,,,Indiana,,,
IndianaUniversity,,2/25/2014,4/1/2013,,Indiana,112394,,
IndianaUniversityHealthBallMemorialHospitalInc,,2/3/2014,,,Indiana,61,,
INPRSIndianaPublicRetirementSecurity Breach,,10/23/2014,9/22/2014,,Indiana,1,,
InternationalAgInsuranceSolutionsLLC,,6/30/2014,5/15/2014,,Indiana,3,,
InternationalDairyQueenInc,,10/9/2014,,,Indiana,,,
InvuluInc,,7/3/2014,6/15/2014,,Indiana,3,,
JacksonNationalLifeInsuranceCompany,,3/14/2014,1/22/2014,,Indiana,7,,
JCMPartnersLLC,,4/24/2014,,,Indiana,38,,
JerseyCityMedicalCenter,,8/6/2014,6/16/2014,,Indiana,1,,
JimmyJohn'sFranchisesLLC,,8/28/2014,6/16/2014,,Indiana,,,
JMSmuckerCompany,,2/27/2014,12/23/2013,,Indiana,431,,
JohnHopkinsUniversity,,4/24/2014,3/19/2014,,Indiana,6,,
JPMorganChaseExecutiveOffice*,,,,,Indiana,,,
JPMorganChaseExecutiveOffice*,,,,,Indiana,,,
KahnDeesDonovanKahnLLP,,10/31/2014,10/23/2014,,Indiana,1,,
KaplanUniversity,,7/9/2014,,,Indiana,9,,
KentuckyOneHealth,,3/28/2014,,,Indiana,1,,
KforceInc,,10/1/2014,9/26/2014,,Indiana,4,,
KimptonHotelsandRestaurants,,6/2/2014,4/2/2014,,Indiana,1,,
KindredRehabServicesInc,,8/20/2014,7/22/2014,,Indiana,14,,
KindredTransitionalCareandRehabilitation-EagleCreek,,9/30/2014,,,Indiana,1,,
KindredTransitionalCareandRehabilitation-EagleCreek,,10/3/2014,8/15/2014,,Indiana,1,,
KMart*,,,,,Indiana,,,
LaCieUSA,,4/11/2014,3/27/2013,,Indiana,249,,
LALeasingIncdbaSedonaStaffing,,11/18/2014,,,Indiana,8,,
LaskoGroupInc,,7/30/2014,10/27/2011,,Indiana,303,,
LegalSeaFoodsLLC,,6/20/2014,1/1/2014,,Indiana,40,,
LogosManagementSoftwareLLC,,3/27/2014,1/14/2014,,Indiana,27,,
Lowe'sCompaniesInc-SecurityBreach,,5/19/2014,7/9/2013,,Indiana,933,,
LPLFinancial-SecurityBreach,,9/9/2014,2/24/2014,,Indiana,4,,
LPLFinancial-SecurityBreach,,7/24/2014,7/14/2014,,Indiana,1,,
LPLFinancial-SecurityBreach,,5/4/2014,,,Indiana,1,,
MaschinoHudelsonAssociates,,5/8/2014,4/2/2014,,Indiana,7,,
McKendreeUniversity,,3/25/2014,1/24/2014,,Indiana,19,,
McKennaLongAldridge,,2/28/2014,11/28/2013,,Indiana,2,,
MemberClicksIncdbaMoolahPayments,,11/20/2014,10/24/2014,,Indiana,4,,
MercerHRServicesLLC,,5/8/2014,4/1/2014,,Indiana,3,,
MerralLewisFamilyPractice,,1/28/2014,1/22/2014,,Indiana,1,,
MethodistHospital,,4/15/2014,6/26/2012,,Indiana,10,,
MetropolitanCommunityCollege,,9/19/2014,5/17/2014,,Indiana,1,,
MichaelsStoresInc,,1/27/2014,,,Indiana,,,
MichiganCommercialInsuranceMutual,,1/31/2014,1/1/2012,,Indiana,2,,
MidwestOrthopaedicCenterSC,,7/23/2014,12/1/2013,,Indiana,1,,
ModernGunSchool,,10/27/2014,10/19/2014,,Indiana,9,,
MontanaDepartmentofPublicHealthandHumanServices,,6/23/2014,7/1/2013,,Indiana,510,,
Moody'sCorporation,,11/17/2014,10/15/2014,,Indiana,1,,
MutualofOmahaInsuranceCompany-SecurityBreach,,4/30/2014,4/8/2014,,Indiana,1,,
MyMatrixx,,1/29/2014,1/1/2012,,Indiana,9,,
NationalCreditAdjusters,,6/5/2014,,,Indiana,45,,
NationStarMortgageLLC,,11/26/2014,9/17/2014,,Indiana,25,,
NationStarMortgageLLC*,,8/15/2014,6/18/2014,,Indiana,1,,
NationwideFinancialServicesInc,,10/27/2014,9/22/2014,,Indiana,1,,
NCOFinancialSystemsInc,,4/22/2014,3/29/2014,,Indiana,10,,
NeimanMarcusGroupInc-SecurityBreach,,1/25/2014,,,Indiana,2595,,
NielsenCompany,,2/4/2014,12/1/2013,,Indiana,13,,
NorthAmericanMidwayEntertainmentLLC,,1/16/2014,1/13/2014,,Indiana,0,,
NorthernTrustCompany,,7/29/2014,5/17/2014,,Indiana,30470,,
NorthwesternMedicalGroup,,9/26/2014,1/1/2009,,Indiana,1,,
NorthwestIndianaCardiovascularPhysiciansPC,,,,,Indiana,,,
NovaSoutheasternUniversity,,11/6/2014,7/1/2013,,Indiana,2,,
NovoNordisk,,11/25/2014,11/13/2014,,Indiana,2,,
OakAssociatesFunds,,3/6/2014,1/23/2014,,Indiana,3,,
OmegaNetInc,,9/10/2014,5/28/2014,,Indiana,15,,
OneLoveOrganicsInc,,10/30/2014,8/24/2014,,Indiana,2,,
OppenheimerFunds,,7/21/2014,5/17/2014,,Indiana,1,,
OppenheimerFunds,,7/31/2014,7/22/2014,,Indiana,153,,
OregonEducatorsBenefitBoard,,11/25/2014,3/1/2013,,Indiana,2,,
OtolaryngologyAssociates,,9/3/2014,8/26/2014,,Indiana,19,,
ParamountStaffing,,1/28/2014,11/6/2013,,Indiana,49,,
ParkHillSchoolDistrict,,7/8/2014,2/1/2014,,Indiana,2,,
PayGov,,,,,Indiana,,,
PaytimeHarrisburgIncdbaPaytimeInc,,5/21/2014,4/7/2014,,Indiana,322,,
PillarHotelsResortsLP,,10/15/2014,,,Indiana,10,,
PlacemarkInvestmentsInc,,5/27/2014,3/1/2013,,Indiana,8,,
PointLomaNazareneUniversity,,12/17/2014,10/7/2014,,Indiana,2,,
PointParkUniversity,,3/13/2014,2/27/2014,,Indiana,4,,
PolishFalconsofAmerica,,8/1/2014,6/14/2014,,Indiana,20,,
PolyOne,,6/10/2014,,,Indiana,63,,
PrecisionPlanting,,5/14/2014,,,Indiana,85,,
PREIT,,5/8/2014,2/23/2014,,Indiana,3,,
PrincipalLifeInsuranceCompany-DataBreach,,5/2/2014,4/18/2014,,Indiana,1,,
ProgressiveHealthofIndianaLLC,,5/28/2014,5/5/2014,,Indiana,1,,
ProgressiveHealthofIndianaLLC,,5/28/2014,5/5/2014,,Indiana,1,,
PublishersPayment,,,,,Indiana,,,
PurdueUniversity,,9/23/2014,2/1/2013,,Indiana,2,,
PurdueUniversity,,3/25/2014,3/5/2014,,Indiana,28,,
PurdueUniversity,,10/6/2014,5/19/2014,,Indiana,760,,
PurdueUniversity,,2/7/2014,1/10/2014,,Indiana,3,,
QuestDiagnostics-SecurityBreach,,12/19/2014,11/17/2014,,Indiana,209,,
RBSCitizensFinancialGroupInc,,3/31/2014,2/7/2014,,Indiana,1,,
ReevesInternationalInc,,10/23/2014,3/31/2013,,Indiana,443,,
RegionalHospitalHealthcarePartnersLLC,,4/7/2014,8/27/2012,,Indiana,19,,
RGHEnterprisesInc-SecurityBreach,,1/10/2014,3/9/2013,,Indiana,107,,
RKInternetLLC,,4/2/2014,2/6/2014,,Indiana,197,,
RowanCompaniesPLC,,5/30/2014,5/13/2014,,Indiana,1,,
SafetyFirst,,6/13/2014,9/27/2013,,Indiana,55,,
SandsCasinoResortBethlehem,,3/3/2014,2/10/2014,,Indiana,17,,
SanFranciscoAirport-SouthSanFranciscoEmbassySuitesHotel,,2/5/2014,6/8/2013,,Indiana,9,,
SchroederMayAssociatesPC,,4/11/2014,3/25/2014,,Indiana,560,,
SchwabRetirementPlanServicesCompany,,10/31/2014,10/9/2014,,Indiana,1,,
ScottradeInc,,6/10/2014,5/29/2014,,Indiana,1,,
ScottradeInc,,7/9/2014,7/9/2014,,Indiana,1,,
SeattleUniversity,,7/17/2014,5/25/2014,,Indiana,10,,
SELFLoan,,9/23/2014,,,Indiana,5,,
SidneyRegionalMedicalCenter,,1/24/2014,12/11/2013,,Indiana,1,,
SimmsFishingProductsLLC,,11/25/2014,9/1/2014,,Indiana,11,,
SnellingStaffingLLC,,4/18/2014,1/20/2014,,Indiana,56,,
SolarTan,,,,,Indiana,,,
SonyPicturesEntertainmentInc,,12/11/2014,11/24/2014,,Indiana,56,,
SorensonCommunications,,3/26/2014,2/20/2014,,Indiana,192,,
SourcebooksInc,,10/17/2014,4/16/2014,,Indiana,105,,
SourceMediaInc,,7/24/2014,5/1/2014,,Indiana,1,,
SpencerCountyCouncilonAging,,12/15/2014,11/23/2014,,Indiana,104,,
SportGraphics,,1/2/2014,12/17/2013,,Indiana,23,,
StaplesInc,,12/19/2014,8/10/2014,,Indiana,,,
StateFarmInsuranceCompanies-SecurityBreach,,4/9/2014,3/31/2014,,Indiana,1,,
StateIndustrialProductsCorp,,1/27/2014,,,Indiana,9,,
SterneAgeeLeachInc,,6/26/2014,5/29/2014,,Indiana,3477,,
StMary'sPhysicianNetwork-DrChristieReagan'sPhysicianOffice,,2/12/2014,10/22/2013,,Indiana,1,,
StonebridgeLifeInsuranceCompany,,8/22/2014,6/25/2014,,Indiana,7,,
StuartBraniginLLP,,2/19/2014,1/30/2014,,Indiana,6,,
StVincentDunnHospital,,1/17/2014,1/7/2014,,Indiana,1,,
StVincentHospitalandHealthCareCenterInc,,8/15/2014,1/1/2011,,Indiana,30,,
SurescriptsLLC,,10/3/2014,3/1/2014,,Indiana,1,,
SymantecCorporation*,,2/20/2014,1/28/2014,,Indiana,3,,
TakeCareHealthSystems,,3/18/2014,1/31/2014,,Indiana,1,,
TeaysRiverInvestmentsLLC,,7/7/2014,4/10/2014,,Indiana,5,,
TestEffectsLLC,,8/4/2014,12/24/2013,,Indiana,817,,
TheCoca-ColaCompany,,1/23/2014,,,Indiana,1460,,
TheDreslyn,,8/4/2014,4/23/2014,,Indiana,3,,
TheFountainTrustCompany,,6/18/2014,5/31/2014,,Indiana,378,,
TheFreemanCompany,,2/10/2014,1/20/2014,,Indiana,265,,
TheHomeDepot,,5/27/2014,5/7/2014,,Indiana,1,,
TheHomeDepot,,9/9/2014,4/1/2014,,Indiana,,,
TheHomeDepotInc,,2/10/2014,2/7/2011,,Indiana,89,,
TheMedicalProtectiveCompany,,5/30/2014,5/6/2014,,Indiana,4,,
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,,2/8/2014,1/18/2014,,Indiana,1,,
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,,,,,Indiana,,,
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,,5/2/2014,1/4/2014,,Indiana,25,,
ThePrudentialInsuranceCompanyofAmerica-SecurityBreach,,4/8/2014,3/18/2014,,Indiana,4,,
TheTimkenCompany,,3/5/2014,1/30/2014,,Indiana,6,,
TheUnionLaborLifeInsuranceCompany,,6/4/2014,2/17/2014,,Indiana,369,,
TheUPSStoreInc,,10/1/2014,1/20/2014,,Indiana,4,,
TheVanguardGroupInc,,10/2/2014,6/25/2014,,Indiana,1,,
TheVanguardGroupInc,,4/28/2014,2/12/2014,,Indiana,1,,
TheVanguardGroupInc,,2/24/2014,8/1/2012,,Indiana,12,,
TheVanguardGroupInc,,3/17/2014,8/1/2012,,Indiana,12,,
