"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Erlanger Health","TN","Healthcare Provider","3371","05/28/2025","Hacking/IT Incident","Network Server","Yes",""
"The Smith Institute for Urology","NY","Healthcare Provider","2263","05/28/2025","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Covenant Surgical Partners, Inc.","TX","Business Associate","88609","05/28/2025","Hacking/IT Incident","Network Server","Yes",""
"Cahaba Center for Mental Health","AL","Healthcare Provider","501","05/27/2025","Hacking/IT Incident","Email","No",""
"NHPP Physical Medicine and Rehabilitation","NY","Healthcare Provider","1353","05/23/2025","Unauthorized Access/Disclosure","Other","No",""
"Sports Physical Therapy, Occupational Therapy and Rehabilitation Services of the North Shore, P.L.L.C","NY","Healthcare Provider","6195","05/23/2025","Unauthorized Access/Disclosure","Other","No",""
"North Shore University Hospital Sleep Disorders Center","NY","Healthcare Provider","13332","05/23/2025","Unauthorized Access/Disclosure","Other","No",""
"The Cooper Health System","NJ","Healthcare Provider","57412","05/23/2025","Hacking/IT Incident","Network Server","No",""
"UChicago Medicine Medical Group","IL","Healthcare Provider","38656","05/23/2025","Hacking/IT Incident","Network Server","Yes",""
"Access2Day Health ","LA","Business Associate","4908","05/23/2025","Hacking/IT Incident","Email","Yes",""
"Connections for Kids","ME","Healthcare Provider","938","05/23/2025","Hacking/IT Incident","Email","No",""
"Shore Medical Center","NJ","Healthcare Provider","31177","05/23/2025","Hacking/IT Incident","Network Server","Yes",""
"Family Health Services, Inc. ","NE","Business Associate","4040","05/23/2025","Hacking/IT Incident","Network Server","Yes",""
"HopeWay Foundation","NC","Healthcare Provider","3523","05/20/2025","Hacking/IT Incident","Email","No",""
"Instituto de Ojos de Puerto Rico","","Healthcare Provider","50000","05/19/2025","Hacking/IT Incident","Network Server","No",""
"Community Hospital of Anaconda","MT","Healthcare Provider","21243","05/19/2025","Hacking/IT Incident","Network Server","No",""
"Swedish Edmonds Hospital","TX","Healthcare Provider","886","05/19/2025","Hacking/IT Incident","Network Server","No",""
"Insulet Corporation","MA","Healthcare Provider","841","05/16/2025","Unauthorized Access/Disclosure","Network Server","No",""
"Mercy Surgical Dressing Group, Inc.","PA","Business Associate","4159","05/16/2025","Hacking/IT Incident","Network Server","Yes",""
"Radiology Chartered","WI","Healthcare Provider","12656","05/16/2025","Hacking/IT Incident","Network Server","Yes",""
"Compassion Health Care, Inc.","NC","Healthcare Provider","23282","05/16/2025","Hacking/IT Incident","Network Server","No",""
"Balance Autism","IA","Healthcare Provider","1281","05/16/2025","Hacking/IT Incident","Network Server","No",""
"Harbin Clinic, LLC","GA","Healthcare Provider","176149","05/16/2025","Hacking/IT Incident","Network Server","Yes",""
"Weiser Valley Hospital District dba Weiser Memorial Hospital","ID","Healthcare Provider","59990","05/15/2025","Hacking/IT Incident","Network Server","No",""
"CareNexa, LLC, doing business as Molecular Testing Labs","WA","Healthcare Provider","7711","05/15/2025","Hacking/IT Incident","Network Server","Yes",""
"Hunter Health Clinic","KS","Healthcare Provider","28431","05/15/2025","Hacking/IT Incident","Email","No",""
"Anne Arundel County Department of Health","MD","Healthcare Provider","500","05/15/2025","Hacking/IT Incident","Network Server","No",""
"Doctors Hospital at Renaissance, LTD","TX","Healthcare Provider","501","05/15/2025","Hacking/IT Incident","Network Server","No",""
"Katie Jo Sider","CO","Healthcare Provider","1435","05/13/2025","Unauthorized Access/Disclosure","Email","No",""
"Union County Children and Youth Services","PA","Healthcare Provider","501","05/13/2025","Hacking/IT Incident","Network Server","No",""
"CVS Caremark ","RI","Business Associate","2599","05/13/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Marlboro-Chesterfield Pathology, P.C.","NC","Healthcare Provider","235911","05/09/2025","Hacking/IT Incident","Network Server","No",""
"Blue Cross Blue Shield of Texas","IL","Business Associate","593","05/09/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Serviceaide, Inc.","CA","Business Associate","483126","05/09/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"THE CARING HEALTHCARE NETWORK, LLC","PA","Healthcare Provider","1019","05/09/2025","Unauthorized Access/Disclosure","Paper/Films","No",""
"Tri-City Cardiology Consultants, P.C.","AZ","Healthcare Provider","22753","05/08/2025","Hacking/IT Incident","Network Server","No",""
"The Carpenter Health Network","LA","Healthcare Provider","878","05/06/2025","Hacking/IT Incident","Network Server","No",""
"Primary Health Care, Inc.","IA","Healthcare Provider","787","05/06/2025","Unauthorized Access/Disclosure","Email","No",""
"SunLink Health Systems, Inc.","GA","Healthcare Provider","2856","05/06/2025","Hacking/IT Incident","Network Server","Yes",""
"Minnesota Orthodontics and Dentofacial Orthopedics, P.A.","MN","Healthcare Provider","501","05/05/2025","Hacking/IT Incident","Network Server","No",""
"Monongalia Health System, Inc.","WV","Healthcare Provider","4895","05/03/2025","Unauthorized Access/Disclosure","Email","No",""
"CardioVascular Health Clinic","OK","Healthcare Provider","501","05/03/2025","Hacking/IT Incident","Network Server","No",""
"Schewitz Psychological Services Inc (DBA: Couples Learn)","ME","Healthcare Provider","3700","05/03/2025","Hacking/IT Incident","Network Server","No",""
"Absolute Dental Group, LLC","NV","Business Associate","501","05/02/2025","Hacking/IT Incident","Network Server","Yes",""
"DermCare Management","FL","Business Associate","501","05/02/2025","Hacking/IT Incident","Network Server","Yes",""
"Arizona Arthritis and Rheumatology Associates, P.C.","AZ","Healthcare Provider","5509","05/02/2025","Hacking/IT Incident","Email","No",""
"Lincoln National Corporation d/b/a Lincoln Financial","IN","Health Plan","1123","05/02/2025","Hacking/IT Incident","Network Server","Yes",""
"Anesthesia Associates of Morristown, P.A.","NJ","Healthcare Provider","501","05/02/2025","Improper Disposal","Paper/Films","Yes",""
"Shelby Dermatology d.b.a Dermatologists of Birmingham","AL","Healthcare Provider","86414","05/02/2025","Hacking/IT Incident","Network Server","No",""
"Sonrisas Dental Health","CA","Healthcare Provider","15644","05/02/2025","Hacking/IT Incident","Network Server","No",""
"The Neurological Institute of Savannah & Center for Spine, P.C","GA","Healthcare Provider","32548","05/01/2025","Hacking/IT Incident","Network Server","No",""
"Canby Clinic","OR","Healthcare Provider","549","04/30/2025","Unauthorized Access/Disclosure","Email","No",""
"Berkeley Research Group, LLC","CA","Business Associate","500","04/30/2025","Hacking/IT Incident","Network Server","Yes",""
"Family Christian Health Center ","IL","Healthcare Provider","12500","04/30/2025","Hacking/IT Incident","Network Server","No",""
"Physician Wound Solutions, LLC dba Apollo Medical Supply","FL","Healthcare Provider","3561","04/29/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"Ascension Health","MO","Healthcare Provider","437329","04/28/2025","Hacking/IT Incident","Network Server","No",""
"Maximus, Inc.","VA","Business Associate","4529","04/25/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"Carlton County Public Health and Human Services","MN","Healthcare Provider","3502","04/25/2025","Hacking/IT Incident","Email","No",""
"Prestonwood Baptist Church, Inc.","TX","Health Plan","501","04/25/2025","Hacking/IT Incident","Network Server","No",""
"Brainard Surgery Center LLC","OH","Healthcare Provider","501","04/24/2025","Hacking/IT Incident","Network Server","No",""
"Palo Verde Hospital","CA","Healthcare Provider","594","04/24/2025","Hacking/IT Incident","Network Server","No",""
"Drug and Alcohol Treatment Services, Inc.","PA","Healthcare Provider","22215","04/24/2025","Hacking/IT Incident","Network Server","No",""
"Orthopaedic Specialists of Connecticut","CT","Healthcare Provider","22541","04/23/2025","Hacking/IT Incident","Network Server","No",""
"Marc Irwin Sharfman, M.D., P.A.","FL","Healthcare Provider","650","04/23/2025","Hacking/IT Incident","Network Server","Yes",""
"City of Bristol, Tennessee","TN","Healthcare Provider","4708","04/22/2025","Hacking/IT Incident","Network Server","Yes",""
"Icon Family Healthcare LLC","CA","Healthcare Provider","1800","04/22/2025","Unauthorized Access/Disclosure","Email","No",""
"Eliza Jennings Senior Care Network","OH","Healthcare Provider","845","04/22/2025","Hacking/IT Incident","Network Server","No",""
"Charleston Fire Department","WV","Healthcare Provider","2583","04/22/2025","Hacking/IT Incident","Email","No",""
"Union Health System, Inc. ","IN","Healthcare Provider","262831","04/21/2025","Hacking/IT Incident","Network Server","Yes",""
"Onsite Mammography","MA","Business Associate","357265","04/21/2025","Hacking/IT Incident","Email","Yes",""
"Horizon Behavioral Health","VA","Healthcare Provider","49822","04/21/2025","Hacking/IT Incident","Network Server","No",""
"Rheumatology Associates of Baltimore","MD","Healthcare Provider","28968","04/21/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"90 Degree Benefits, Inc. – St. Paul","WI","Business Associate","1268","04/18/2025","Hacking/IT Incident","Email","Yes",""
"WPM Pathology Laboratory, Chartered ","KS","Business Associate","5694","04/17/2025","Hacking/IT Incident","Network Server","Yes",""
"HEALTH AND WELLNESS OF TEXAS","TX","Healthcare Provider","500","04/16/2025","Unauthorized Access/Disclosure","Electronic Medical Record, Email","No",""
"Recovery Epicenter Foundation","FL","Healthcare Provider","800","04/16/2025","Unauthorized Access/Disclosure","Network Server","No",""
"Thrive Physical Therapy Partners","IL","Business Associate","986","04/16/2025","Hacking/IT Incident","Email","Yes",""
"Thrive Physical Therapy Partners","IL","Business Associate","3403","04/16/2025","Hacking/IT Incident","Email","Yes",""
"Magnolia Manor Inc.","GA","Healthcare Provider","960","04/15/2025","Hacking/IT Incident","Network Server","No",""
"The City of Long Beach, CA","CA","Healthcare Provider","258191","04/14/2025","Hacking/IT Incident","Network Server","No",""
"Alternate Solutions Health Network, LLC","OH","Healthcare Provider","93589","04/14/2025","Hacking/IT Incident","Email","No",""
"Scharnhorst Ast Kennard Griffin PC","MO","Business Associate","639","04/14/2025","Hacking/IT Incident","Email","Yes",""
"Bell Ambulance, Inc.","WI","Healthcare Provider","114000","04/14/2025","Hacking/IT Incident","Network Server","No",""
"Bassett Healthcare Network","NY","Healthcare Provider","5565","04/14/2025","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Laptop, Paper/Films","No",""
"AHS Sherman LLC dba AHS Sherman Medical Center","TX","Healthcare Provider","908","04/14/2025","Unauthorized Access/Disclosure","Email","No",""
"Health Care Service Corporation","IL","Health Plan","2944","04/13/2025","Unauthorized Access/Disclosure","Other","No",""
"Blue Cross and Blue Shield of Texas","IL","Health Plan","12086","04/13/2025","Unauthorized Access/Disclosure","Other","No",""
"Blue Cross and Blue Shield of Oklahoma","IL","Health Plan","1020","04/13/2025","Unauthorized Access/Disclosure","Other","No",""
"Blue Cross and Blue Shield of Illinois","IL","Health Plan","6903","04/13/2025","Unauthorized Access/Disclosure","Other","No",""
"Summit Healthcare Medical Associates","AZ","Healthcare Provider","1861","04/11/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Yale New Haven Health System","CT","Healthcare Provider","5556702","04/11/2025","Hacking/IT Incident","Network Server","No",""
"Whitman County Public Hospital District No. 3","WA","Healthcare Provider","63453","04/11/2025","Hacking/IT Incident","Network Server","No",""
"Altior Healthcare, LLC","CA","Healthcare Provider","1002","04/11/2025","Hacking/IT Incident","Email","No",""
"Endue Software","ME","Business Associate","118028","04/11/2025","Hacking/IT Incident","Network Server","Yes",""
"Boudreaux’s Specialty Compounding Pharmacy","LA","Healthcare Provider","6270","04/10/2025","Hacking/IT Incident","Network Server","No",""
"Jacksonville Medical Care ","AR","Healthcare Provider","6262","04/10/2025","Hacking/IT Incident","Network Server","No",""
"Cabot Medical Care ","AR","Healthcare Provider","21467","04/10/2025","Hacking/IT Incident","Network Server","No",""
"RHEA MEDICAL CENTER","TN","Healthcare Provider","8309","04/10/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"Erlanger Health","TN","Healthcare Provider","3193","04/10/2025","Hacking/IT Incident","Network Server","Yes",""
"Kelly & Associates Insurance Group, Inc. ","MD","Business Associate","32234","04/09/2025","Hacking/IT Incident","Network Server","Yes",""
"Blue Shield of California","CA","Business Associate","4700000","04/09/2025","Hacking/IT Incident","Network Server","Yes",""
"California Correctional Health Care Services","CA","Healthcare Provider","4105","04/09/2025","Unauthorized Access/Disclosure","Email","No",""
"Alabama Ophthalmology Associates","AL","Healthcare Provider","131576","04/08/2025","Hacking/IT Incident","Desktop Computer, Network Server","No",""
" Benefits Partner, LLC dba Salus Group*","MI","Business Associate","40177","04/08/2025","Hacking/IT Incident","Email","Yes",""
"Northeast Georgia Health System","GA","Healthcare Provider","21000","04/08/2025","Hacking/IT Incident","Network Server","Yes",""
"Hebrew Home for Aged Disabled d/b/a San Francisco Campus for Jewish Living","CA","Healthcare Provider","2568","04/07/2025","Hacking/IT Incident","Email","No",""
"Friendship House, Inc.","NE","Healthcare Provider","501","04/04/2025","Hacking/IT Incident","Network Server","No",""
"Loretto Hospital ","IL","Healthcare Provider","501","04/04/2025","Hacking/IT Incident","Network Server","No",""
"Newburgh Healthcare Residential Center, Inc.","IN","Healthcare Provider","700","04/04/2025","Hacking/IT Incident","Network Server","No",""
"Central Texas Pediatric Orthopedics ","TX","Healthcare Provider","140000","04/04/2025","Hacking/IT Incident","Network Server","No",""
"Worthington Steel Health and Welfare Plan","OH","Health Plan","4078","04/04/2025","Hacking/IT Incident","Network Server","No",""
"Hamilton County Government","TN","Healthcare Provider","14081","04/03/2025","Hacking/IT Incident","Network Server","Yes",""
"Gilead Sciences, Inc.","CA","Health Plan","12224","04/02/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Dameron Hospital","CA","Healthcare Provider","210706","04/02/2025","Hacking/IT Incident","Network Server","No",""
"True Dental Care For Kids and Adults LLC","PA","Healthcare Provider","17640","04/02/2025","Hacking/IT Incident","Network Server","No",""
"Health Services LLC","OH","Healthcare Provider","2400","04/01/2025","Hacking/IT Incident","Network Server","No",""
"Gardner Health Services","CA","Healthcare Provider","26000","04/01/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Howard Health Systems dba Howard Memorial Hospital","AR","Healthcare Provider","17703","03/31/2025","Hacking/IT Incident","Network Server","No",""
"Family Centers, Inc.","CT","Healthcare Provider","501","03/31/2025","Hacking/IT Incident","Network Server","No",""
"COSE Healthcloud Solutions, LLC","AZ","Healthcare Clearing House","2559","03/31/2025","Unauthorized Access/Disclosure","Desktop Computer","No",""
"North Hudson Community Action Corporation","NJ","Healthcare Provider","501","03/28/2025","Hacking/IT Incident","Network Server","No",""
"Sentara Health","VA","Healthcare Provider","1620","03/28/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Community Dental Care, Inc.  ","MN","Healthcare Provider","134903","03/28/2025","Hacking/IT Incident","Network Server","No",""
"Samaritan's Purse","NC","Health Plan","2350","03/28/2025","Hacking/IT Incident","Network Server","Yes",""
"Apria Healthcare LLC","IN","Healthcare Provider","713","03/28/2025","Unauthorized Access/Disclosure","Paper/Films","No",""
"Mayo Clinic","MN","Healthcare Provider","1869","03/28/2025","Unauthorized Access/Disclosure","Email","No",""
"Frederick Health","MD","Healthcare Provider","934326","03/28/2025","Hacking/IT Incident","Network Server","No",""
"SimonMed Imaging","AZ","Healthcare Provider","500","03/27/2025","Hacking/IT Incident","Network Server","No",""
"Georgia Urology","GA","Healthcare Provider","12398","03/27/2025","Hacking/IT Incident","Email","No",""
"MAK Anesthesia (“MAK”)","GA","Healthcare Provider","24079","03/26/2025","Hacking/IT Incident","Network Server","Yes",""
"Mercer County Joint Township Community Hospital","OH","Healthcare Provider","88541","03/26/2025","Hacking/IT Incident","Network Server","No",""
"Western Wayne Family Physicians ","MI","Healthcare Provider","62000","03/26/2025","Hacking/IT Incident","Network Server","No",""
"Concord Orthopaedics","NH","Healthcare Provider","72815","03/25/2025","Hacking/IT Incident","Network Server","No",""
"Bigfork Valley Hospital","MN","Healthcare Provider","8496","03/25/2025","Hacking/IT Incident","Email","No",""
"William F Rinehart DMD PA ","SC","Healthcare Provider","25000","03/24/2025","Hacking/IT Incident","Network Server","No",""
"MedicareCompareUSA","WA","Business Associate","3127","03/21/2025","Hacking/IT Incident","Email","Yes",""
"Fundamental Administrative Services, LLC","MD","Business Associate","500","03/21/2025","Hacking/IT Incident","Network Server","Yes",""
"PAR Rehab","MI","Healthcare Provider","4300","03/21/2025","Hacking/IT Incident","Email","No",""
"AmeriHealth Caritas Louisiana ","LA","Health Plan","1552","03/21/2025","Unauthorized Access/Disclosure","Network Server, Other","No",""
"Pineland Community Service Board","GA","Healthcare Provider","501","03/20/2025","Hacking/IT Incident","Network Server","No",""
"Graphium Health","UT","Healthcare Provider","1187","03/20/2025","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Meigs County Emergency Medical Services","OH","Healthcare Provider","5802","03/20/2025","Hacking/IT Incident","Email","No",""
"Special Tree Ltd.","MI","Healthcare Provider","3820","03/20/2025","Hacking/IT Incident","Network Server","No",""
"Millennium Home Health Care","OK","Healthcare Provider","4743","03/19/2025","Hacking/IT Incident","Network Server","No",""
"Pinehurst Radiology Associates","NC","Healthcare Provider","8682","03/19/2025","Hacking/IT Incident","Network Server","No",""
"The Pavilion at HealthPark, LLC dba Park Royal Hospital","FL","Healthcare Provider","9349","03/18/2025","Hacking/IT Incident","Email","No",""
"Dove Healthcare","WI","Healthcare Provider","16255","03/18/2025","Hacking/IT Incident","Network Server","No",""
"Presbyterian Health Plan","NM","Health Plan","7100","03/18/2025","Hacking/IT Incident","Email","No",""
"Heart to Heart Hospice Holdings, LLC","TX","Healthcare Provider","19034","03/18/2025","Hacking/IT Incident","Network Server","No",""
"Lena Pope Home Inc.","TX","Healthcare Provider","3523","03/17/2025","Hacking/IT Incident","Email","No",""
"Klickitat Valley Health","WA","Healthcare Provider","531","03/14/2025","Hacking/IT Incident","Network Server","No",""
"Welts, White, & Fontaine PC","NH","Business Associate","500","03/14/2025","Hacking/IT Incident","Network Server","Yes",""
"CDHA Management, LLC and Spark DSO, LLC dba Chord Specialty Dental Partners","TN","Healthcare Provider","173430","03/14/2025","Hacking/IT Incident","Email","No",""
"Baylor Scott & White Texas Spine & Joint Hospital","TX","Healthcare Provider","1640","03/14/2025","Hacking/IT Incident","Email","No",""
"Lake Psychological Services","PA","Healthcare Provider","987","03/14/2025","Hacking/IT Incident","Network Server","No",""
"Cottrill’s Pharmacy, Inc. DBA Cottrill’s Specialty Pharmacy ","NY","Healthcare Provider","2348","03/14/2025","Hacking/IT Incident","Network Server","No",""
"Columbia Eye Clinic ","SC","Healthcare Provider","500","03/14/2025","Hacking/IT Incident","Network Server","No",""
"Topy America Inc.","KY","Health Plan","1827","03/14/2025","Hacking/IT Incident","Network Server","No",""
"CHC Solutions, Inc. ","PA","Healthcare Provider","794","03/13/2025","Hacking/IT Incident","Email","No",""
"PACE Greater New Orleans","LA","Healthcare Provider","715","03/13/2025","Unauthorized Access/Disclosure","Email","No",""
"OCH Regional Medical Center, MS","MS","Healthcare Provider","51266","03/11/2025","Unauthorized Access/Disclosure","Other","No",""
"Nice Healthcare Management Company, Inc","MN","Healthcare Provider","10000","03/10/2025","Hacking/IT Incident","Network Server","Yes",""
"Vision Upright MRI","CA","Healthcare Provider","23031","03/10/2025","Unauthorized Access/Disclosure","Network Server","No",""
"Rocky Mountain Regional VA Medical Center","CO","Healthcare Provider","1115","03/10/2025","Unauthorized Access/Disclosure","Email","No",""
"St. Charles County Ambulance District","MO","Healthcare Provider","1265","03/07/2025","Hacking/IT Incident","Email","No",""
"Sunflower Medical Group, P.A.","KS","Healthcare Provider","220968","03/07/2025","Hacking/IT Incident","Network Server","No",""
"Hand & Plastic Surgery Centre, PLC","MI","Healthcare Provider","19846","03/07/2025","Hacking/IT Incident","Network Server","No",""
"United Seating and Mobility, LLC d/b/a Numotion ","TN","Healthcare Provider","494326","03/07/2025","Hacking/IT Incident","Email","No",""
"SCLARC","CA","Business Associate","722","03/06/2025","Theft","Laptop, Other Portable Electronic Device, Paper/Films","Yes",""
"Madison County, MS ","MS","Health Plan","6082","03/05/2025","Hacking/IT Incident","Email","No",""
"Hillcrest Convalescent Center, Inc. ","NC","Healthcare Provider","106194","03/04/2025","Hacking/IT Incident","Network Server","No",""
"Bay Cove Human Services, Inc.","MA","Healthcare Provider","21295","03/03/2025","Hacking/IT Incident","Network Server","No",""
"Sutera & Jones Surgical Podiatry A Division of Pace Foot and Ankle Center","PA","Healthcare Provider","602","03/03/2025","Theft","Laptop, Other Portable Electronic Device, Paper/Films","No",""
"Vernon Rehabilitation and Healthcare Center","CT","Healthcare Provider","5416","03/03/2025","Hacking/IT Incident","Network Server","No",""
"Manchester Rehabilitation and Healthcare Center","CT","Healthcare Provider","5415","03/03/2025","Hacking/IT Incident","Network Server","No",""
"Community Care Alliance","RI","Healthcare Provider","114975","03/01/2025","Hacking/IT Incident","Network Server","No",""
"Scott County, Iowa","IA","Healthcare Provider","4336","02/28/2025","Hacking/IT Incident","Email","No",""
"Blue Shield of California ","CA","Health Plan","535","02/28/2025","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Total Medical Imaging ","FL","Healthcare Provider","27000","02/28/2025","Unauthorized Access/Disclosure","Network Server","Yes",""
"Southeast Series of Lockton Companies, LLC (Lockton)","GA","Business Associate","1118572","02/28/2025","Hacking/IT Incident","Network Server","Yes",""
"Kronick Moskovitz Tiedemann & Girard","CA","Business Associate","2511","02/28/2025","Hacking/IT Incident","Network Server","Yes",""
"Legacy Professionals, LLP","IL","Business Associate","216752","02/28/2025","Hacking/IT Incident","Network Server","Yes",""
"NVW Newco, LLC ","AZ","Healthcare Provider","3232","02/28/2025","Unauthorized Access/Disclosure","Email","No",""
"United Community Health Center","IA","Healthcare Provider","750","02/28/2025","Hacking/IT Incident","Email","No",""
"Stram Center for Integrative Medicine","NY","Healthcare Provider","15263","02/28/2025","Theft","Electronic Medical Record, Paper/Films","No",""
"East Hawaii Rehab, Inc. DBA Lehua Physical Therapy and Rehab","HI","Healthcare Provider","8472","02/28/2025","Theft","Other, Other Portable Electronic Device, Paper/Films","No",""
"Carolina Arthritis Associates","NC","Healthcare Provider","36961","02/27/2025","Hacking/IT Incident","Network Server","No",""
"SMC Corporation of America","IN","Health Plan","6566","02/27/2025","Hacking/IT Incident","Network Server","No",""
"Atlantis Operating LLC d/b/a The Phoenix Rehabilitation and Nursing Center","NY","Healthcare Provider","6459","02/26/2025","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Palmetto Operating LLC d/b/a Palmetto Subacute Care Center (‘Palmetto’)","FL","Healthcare Provider","2746","02/26/2025","Unauthorized Access/Disclosure","Electronic Medical Record","Yes",""
"HHH Acquisition, LLC d/b/a The Grove at Valhalla Rehabilitation and Nursing Center","NY","Healthcare Provider","4196","02/26/2025","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Bassford Remele P.A.","MN","Business Associate","4435","02/25/2025","Hacking/IT Incident","Email","Yes",""
"Lake Washington Vascular","WA","Healthcare Provider","21534","02/25/2025","Hacking/IT Incident","Network Server","No",""
"Artistic Family Dental","IN","Healthcare Provider","3915","02/25/2025","Hacking/IT Incident","Network Server","No",""
"Roswell Park Comprehensive Cancer Center","NY","Healthcare Provider","11435","02/24/2025","Theft","Other Portable Electronic Device","No",""
"HealthRev Partners, LLC","MO","Business Associate","1446","02/20/2025","Hacking/IT Incident","Email","Yes",""
"Central New York Cardiology ","NY","Healthcare Provider","500","02/19/2025","Hacking/IT Incident","Network Server","No",""
"Life University ","GA","Healthcare Provider","3389","02/17/2025","Hacking/IT Incident","Network Server","No",""
"Consultants in Pain Medicine","TX","Healthcare Provider","1124","02/16/2025","Hacking/IT Incident","Network Server","No",""
"Spring Management OK, LLC","OK","Business Associate","2494","02/14/2025","Hacking/IT Incident","Network Server","Yes",""
"Restorix Health, Inc.","LA","Business Associate","38553","02/14/2025","Unauthorized Access/Disclosure","Email","Yes",""
"CDS in Texas","TX","Healthcare Provider","566","02/14/2025","Unauthorized Access/Disclosure","Email","No",""
"Children's Dental Center at Preston Trail, P.C. d/b/a Park Place Pediatric Dentistry (Arlington, TX) ","TN","Healthcare Provider","1690","02/14/2025","Theft","Laptop","No",""
"Somnia, Inc.","NY","Business Associate","500","02/14/2025","Hacking/IT Incident","Email","Yes",""
"Fillmore County Hospital","NE","Healthcare Provider","3535","02/13/2025","Hacking/IT Incident","Email","No",""
"Precision Orthopedics and Sports Medicine","MD","Healthcare Provider","1903","02/13/2025","Hacking/IT Incident","Email","No",""
"Ottawa Family Physicians","KS","Healthcare Provider","501","02/13/2025","Hacking/IT Incident","Network Server","No",""
"UNITED BACKCARE PS dba Pacific Rehabilitation Centers","WA","Healthcare Provider","18900","02/11/2025","Hacking/IT Incident","Network Server","No",""
"New Era Life Insurance Companies","TX","Health Plan","335506","02/11/2025","Hacking/IT Incident","Network Server","No",""
