Year,Date Reported,Organization,PDF Link,Date of Incident,Date of Discovery,Residents Affected,Breach Type,Notes
2025,2-24-2025,YES Communities,https://www.iowaattorneygeneral.gov/media/cms/2242025_Yes_Communities_LLC_A1B4838B7F253.pdf,,,,Unauthorized Access,"Sian M. Schafle  Office: (267) 930-4799  Fax: (267) 930-4771  Email: sschafle@mullen.law 426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  February 24, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov  Re:  Notice of Data Event  To Whom It May Concern:  We represent Yes Communities, LLC (“Yes Communities”) located at 5050 South Syracuse  Street, Suite 1200, Denver, Colorado 80237, and are writing to notify your office of an event that  may affect the security of personal information relating to six hundred forty-eight (648) Iowa  residents (the “Event”). This notice will be supplemented with any new significant facts learned  subsequent to its submission. By providing this notice, Yes Communities does not waive any rights  or defenses regarding the applicability of Iowa law, the applicability of the Iowa data event  notificat"
2025,2-25-2025,"City of Cedar Falls, Iowa",https://www.iowaattorneygeneral.gov/media/cms/2252025__Cedar_Falls_Iowa_999D2C399CF0C.pdf,,,,Ransomware,"308256268v.1 February 25, 2025              Brian H. Myers (202) 626-7695 (direct) Brian.Myers@WilsonElser.com Via Email: Office of the Attorney General Consumer Protection Division Security Breach Notifications Office of the Attorney General of Iowa 1305 E. Walnut Street Des Moines, Iowa 50319 consumer@ag.iowa.gov Re: Notice of Cybersecurity Incident  Office of the Attorney General: Wilson Elser Moskowitz Edelman and Dicker LLP (“Wilson Elser”) represents the City of Cedar  Falls, Iowa (“the City”), located at 220 Clay Street in Cedar Falls, Iowa, and we are providing  notice of a cybersecurity incident (hereinafter, the “Incident”).  This letter will serve to inform you of the nature of the Incident, what information may have been  affected, and the steps that the City has taken in response to the Incident. We have also enclosed  hereto a sample copy of the notice letter we recently mailed to the affected individuals on February  19, 2025.  1. Nature of the Incident On June 19, 2024,"
2025,2-27-2025,"Legacy Professionals, LLP",https://www.iowaattorneygeneral.gov/media/cms/2272025_Legacy_Professionals_LLP_EEAECE9529860.pdf,,,,Theft,"Brittany R. Bickel  Office: (267) 930-1129  Fax: (267) 930-4771  Email: BBickel@mullen.law  426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  February 27, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov Re:  Notice of Data Event  To Whom It May Concern:  We represent Legacy Professionals, LLP (“Legacy”) located at 4 Westbrook Corporate Center,  Suite 700, Westchester, IL, 60154, and are writing to notify your office, on behalf of Legacy and  its data-owner clients, of an incident that may affect the security of certain personal information  relating to one thousand six hundred seventy-two (1,672) Iowa residents. The investigation into  this matter is ongoing, and this notice may be supplemented with any new significant facts learned  subsequent to its submission. By providing this notice, Legacy does not waive any rights or "
2025,3-3-2025,Hillcrest Convalescent Center,https://www.iowaattorneygeneral.gov/media/cms/332025_Hillcrest_Convalescent_Cente_1F276E94C94BF.pdf,,,,Unauthorized Access,"         169010392.2  AMIR GOODARZI  Direct No: 215.299.2020  Email: agoodarzi@foxrothschild.com    Two Commerce Square, 2001 Market Street  Suite 1700  Philadelphia, PA  19103   215.299.2000    215.299.2150  www.foxrothschild.com      March 3, 2025  VIA EMAIL  Attorney General Brenna Bird  Iowa Attorney General  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319    Re:  Notice of Data Security Event  To Whom It May Concern:  Fox Rothschild LLP (“Fox”) represents Hillcrest Convalescent Center and Hillcrest Raleigh  at Crabtree Valley (collectively “Hillcrest”), companies based in Durham and Raleigh  North Carolina, in connection with the data security event described in greater detail  below. The purpose of this letter is to notify you of the incident in accordance with  Iowa’s data breach notification statute.  1. Nature of the Security Event  On June 27, 2024, Hillcrest identified suspicio"
2025,3-7-2025,Charlie’s Tax Service,https://www.iowaattorneygeneral.gov/media/cms/372025_Charlies_Tax_Service_8272FB8EBB8CE.pdf,,,,Unauthorized Access,"MAR 19‘25w3:v9 McDonald Hopkins A business advisory and advocacy law firm® McDonald Hopkins PLC  39533 Woodward Avenue  Suite 318 Bloomfield Hills, Ml 48304  P 1.248.646.5070 F 1.248.646.5075 Spencer S. Pollock, CIPP/US, CIPM Direct Dial: 1.410.456.2741 Cell: 1.410.917.5189 Email: spollock@mcdonaldhopkins.com March 7, 2025 VIA U.S. MAIL Consumer Protection Division Security Breach Notifications Office of the Attorney General of Iowa 1305 E. Walnut Street Des Moines, IA 50319-0106 Re: Charlie’s Tax Service - Incident Notification To Whom It May Concern: McDonald Hopkins PLC represents Charlie’s Tax Service. I am writing to provide  notification of an incident at Charlie’s Tax Service that may affect the security of personal  information of approximately 514 Iowa residents. Charlie’s Tax Service’s investigation is ongoing,  and this notification will be supplemented with any new or significant facts or findings subsequent  to this submission, if any. By providing this notice, Charlie’s T"
2025,3-13-2025,Hayloft Property Management Company,https://www.iowaattorneygeneral.gov/media/cms/3132025_Hayloft_Property_Management_8068224B30348.pdf,"March 13, 2025",,,Theft,"  Todd Rowe, Partner  Cybersecurity & Data Privacy Team  20 North Wacker, Suite 4120  Chicago, IL 60606  trowe@constangy.com  773.558.2363   March 13, 2025    VIA EMAIL  Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  1305 E Walnut Street  Des Moines, IA 50319-0106  consumer@ag.iowa.gov     Re:  Notice of Data Security Incident    Dear Attorney General Bird:    Constangy, Brooks, Smith and Prophete LLP (“Constangy”) represents Hayloft Property Management  Company (“Hayloft”) in connection with an incident described in greater detail below. The purpose of this  letter is to notify you, in accordance with Iowa data breach notification statute, that this incident may have  affected the personal information of 1,217 Iowa residents. This notice may be supplemented with any new  significant facts learned subsequent to its submission. Hayloft hereby reserves all rights and defenses in  connection herewith.     1. Natur"
2025,3-28-2025,"Southeast Series of Lockton Companies, LLC (Omnia Exterior Solutions, LLC)",https://www.iowaattorneygeneral.gov/media/cms/3282025_Southeast_Series_of_Lockton_654908F353B05.pdf,,,,Theft,"  March 28, 2025    Via Email    consumer@ag.iowa.gov  Consumer Protection Division  Security Breach Notifications Office  of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106    Re: Notice of Data Incident    Dear Sir or Madam:      Norton Rose Fulbright US LLP  799 9th Street NW, Suite 1000  Washington, DC 20001-4501  United States of America    Direct line +1 202 662 4691  chris.cwalina@nortonrosefulbright.com    Tel +1 202 662 0200  Fax +1 202 662 4643    I am writing on behalf of my client, the Southeast Series of Lockton Companies, LLC (“Lockton”), to notify you  of a cybersecurity incident.  On November 20, 2024, Lockton discovered suspicious activity on an individual Lockton computer. Lockton  immediately began an investigation, engaged third-party cybersecurity experts, and notified law enforcement.  The investigation found that an unauthorized party accessed a single individual account and computer within  the Lockton environment and obtained ce"
2025,4-8-2025,American Association of Colleges of Osteopathic Medicine,https://www.iowaattorneygeneral.gov/media/cms/482025_American_Association_of_Coll_82CC679891DA3.pdf,,,,Theft,"Aubrey Weaver, Partner  Cybersecurity & Data Privacy Team  1650 Market Street, Suite 3600  Philadelphia, Pennsylvania 19103  aweaver@constangy.com   Direct:  215-770-4234    Alabama    Arkansas    California    Colorado    District of Columbia    Florida    Georgia    Illinois      Indiana    Maryland    Massachusetts    Minnesota    Missouri    New Jersey    New York     North Carolina    Oregon    Pennsylvania    South Carolina    Tennessee    Texas    Virginia    Washington  12678359v1  12712310v1  April 8, 2025  ELECTRONIC MAIL  Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  1305 E Walnut Street  Des Moines, Iowa 50319-0106  Email: consumer@ag.iowa.gov    RE:  NOTICE OF DATA SECURITY INCIDENT  Attorney General Bird:  Constangy, Brooks, Smith & Prophete, LLP, represents the American Association of Colleges of  Osteopathic Medicine (“AACOM”) in connection with a recent data security incident described in  gre"
2025,4-8-2025,Eisner Advisory Group LLC,https://www.iowaattorneygeneral.gov/media/cms/482025_Eisner_Advisory_Group_LLC_333A03DF78CE4.pdf,,,,Unauthorized Access,"Vincent F. Regan  Office: (267) 930-4842  Fax: (267) 930-4771  Email: vregan@mullen.law 309 Fellowship Road, Suite 200  Mt. Laurel, NJ 08054 Mullen.law  April 8, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov  Re:  Notice of Data Event  To Whom It May Concern:  We represent Eisner Advisory Group LLC (“Eisner”), located at 2501 S. Wayzata Blvd., Minneapolis, MN  55405, and are writing to notify your office of an incident that may affect the security of certain personal  information relating to one thousand seven hundred sixty-four (1,764) Iowa residents. This notice will be  supplemented with any new significant facts learned subsequent to its submission. By providing this notice,  Eisner does not waive any rights or defenses regarding the applicability of Iowa law, the applicability of  the Iowa data event notification statute, or person"
2025,4-8-2025,"Skyward Specialty Insurance Group, Inc.",https://www.iowaattorneygeneral.gov/media/cms/482025_Skyward_Specialty_Insurance__D6A5035850DE5.pdf,,,,,"  800 Gessner Road, Suite 600, Houston, TX 77024     |     (713) 935-4800     |     skywardinsurance.com      April 8, 2025      Notification of Potential Data Incident      To whom it may concern:       Pursuant to its requirements under applicable insurance sector regulations, Skyward  Specialty Insurance Group, Inc., as an insurance holding company and on behalf of its insurance  company subsidiaries (collectively referred to herein as “Skyward Specialty”), is writing to  inform you of a potential data incident that Skyward Specialty has recently become aware of.        Skyward Specialty was recently alerted that a database where it stored certain  documents was publicly discoverable to people who were in a position to identify the URL for  that database. Skyward Specialty determined that this was made possible due to a  miscalibration in the database settings.  Skyward Specialty has remediated the miscalibration.   On April 5, 2025, Skyward Specialty was alerted that certain docume"
2025,4-9-2025,"Lee Valley Tools, Ltd",https://www.iowaattorneygeneral.gov/media/cms/492025_Lee_Valley_Tools_Ltd_AF52381F737E5.pdf,,,,Unauthorized Access,"    1      April 9, 2025    Office of the Attorney General of Iowa  Hoover State Office Building  1305 E. Walnut Street  Des Moines IA 50319    RE: Data security event    Lee Valley Tools, Ltd. (“Lee Valley”) is submitting this notice to provide your office with  information regarding a cybersecurity event that resulted in unauthorized access to the personal  information of 583 residents of Iowa.     On March 12, 2025, we became aware of suspicious activity on our US and UK website. We  immediately launched an investigation, engaged cybersecurity experts, and took steps to secure  our website and ensure the security of our customer data. We also notified law enforcement. The  investigation determined that an unauthorized third party tampered with the checkout page on  our website and inserted code that captured customer payment card data at the time of the  transaction, including name, address, credit card number, expiration date, and CVV code. Lee  Valley does not store payment card d"
2025,4-10-2025,Laboratory Services Cooperative,https://www.iowaattorneygeneral.gov/media/cms/4102025_Laboratory_Services_Coopera_247A40945BA7C.pdf,,,,Theft,"  Sadia Mirza  D 949.622.2786  sadia.mirza@troutman.com              Troutman Pepper Locke LLP  100 Spectrum Center Drive, Suite 1500  Irvine, CA 92618    troutman.com    April 10, 2025  VIA EMAIL ONLY  Re: Notice of Security Incident   To Whom It May Concern:    We represent Laboratory Services Cooperative (hereinafter, “LSC”), located at 2001 E. Madison  St, Seattle, WA 98122, and we are writing to provide your office with notice of a security incident  (the “Incident”) that may involve approximately 64,348 Iowa residents.     LSC's top priority has always been and will continue to be supporting those concerned about their  information following this Incident. All individuals will have the opportunity to sign up for the  complimentary identity protection services that LSC is offering, as detailed further in this letter.  For adults, these services include not just traditional credit monitoring but also medical identity  protection services.    Incident Background    LSC is a non-prof"
2025,4-11-2025,Hertz Corporation (Cleo Communications US LLC),https://www.iowaattorneygeneral.gov/media/cms/4112025_The_Hertz_Corporation_1D4EF74538274.pdf,,,,Theft,"  ALESSANDRA SWANSON  Partner  (312) 558-7435  ASwanson@winston.com    VIA EMAIL    April 11, 2025    Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106   consumer@ag.iowa.gov    Re:  Notice of Privacy Event      To Whom It May Concern:    Winston & Strawn LLP (“Winston”) is writing on behalf of The Hertz Corporation, including the Hertz,  Dollar and Thrifty brands, 8501 Williams Road, Estero, Florida 33928 (“Hertz”) with respect to the privacy event  involving a vendor of Hertz, Cleo Communications US LLC, 4949 Harrison Avenue, Suite 200, Rockford, Illinois  61108 (“Cleo”) that is the subject of this notice (the “Event”).     By way of background, Cleo is a vendor that provides a file transfer platform used by Hertz for limited  purposes. On February 10, 2025, Hertz confirmed that its data was acquired by an unauthorized third party that  Hertz understands exploited zero-day vulnerabil"
2025,4-11-2025,"Lemonade, Inc",https://www.iowaattorneygeneral.gov/media/cms/4112025_Lemonade_Inc_123E2027385E4.pdf,,,750,Unauthorized Access,"Cooley LLP 110 N. Wacker Drive STE 4200 Chicago, IL 60606-1511  t: +1 312 881 6500 f: +1 312 881 6598 cooley.com        Tiana Demas  T: +1 212 479 6560  tdemas@cooley.com    VIA E-MAIL        April 11, 2025    Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, Iowa 50319-0106      To Whom It May Concern:    On behalf of Lemonade, Inc. (“Lemonade”), a Delaware corporation, I write to inform you of a recent incident involving  unauthorized access to driver’s license numbers (the “Incident”).    Through certain of its subsidiaries, Lemonade offers car insurance policies through an online application process at  www.lemonade.com/car (the “Online Flow”). Using the Online Flow to obtain an insurance quote and purchase a policy,  an individual enters certain information – name, date of birth and residential address. Using this information, Lemonade  calls for and returns from its third-party vendor that indiv"
2025,4-21-2025,"Kelly & Associates Insurance Group, Inc. dba Kelly Benefits",https://www.iowaattorneygeneral.gov/media/cms/4212025_Kelly__Associates_Insurance_E1F8168C8E644.pdf,,,,Unauthorized Access,"Paul T. McGurkin, Jr.  Office: (267) 930-4788  Fax: (267) 930-4771  Email: pmcgurkin@mullen.law 426 W. Lancaster Avenue, Suite 200  Devon, PA 19333 Mullen.law  April 21, 2025  VIA E-MAIL  Office of the Attorney General of Iowa  Consumer Protection Division  Security Breach Notifications  1305 E. Walnut Street  Des Moines, IA 50319-0106  E-mail: consumer@ag.iowa.gov  Re:  Notice of Data Event  To Whom It May Concern:  We represent Kelly & Associates Insurance Group, Inc. (“Kelly Benefits”) located at 1 Kelly Way,  Sparks, Maryland 21152, and are writing to notify your office on behalf of itself and the entities  listed in Exhibit A of an incident that may affect the security of certain personal information  relating to one thousand one hundred ninety-two (1,192) Iowa residents. This notice will be  supplemented with any new significant facts learned subsequent to its submission. By providing  this notice, Kelly Benefits does not waive any rights or defenses regarding the applicability o"
2025,4-23-2025,"VeriSource Services, Inc.",https://www.iowaattorneygeneral.gov/media/cms/4232025_VeriSource_Services_Inc_22E1F7C4BAA4A.pdf,"April 
17, 2025",,,Theft,"Donna Maddux, Partner  Cybersecurity & Data Privacy Team  4800 SW Meadows Road, Suite 300  Lake Oswego, Oregon 97035  Telephone: 503.312.6251  Email: dmaddux@constangy.com     April 23, 2025   VIA EMAIL  Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  1305 E Walnut Street  Des Moines, IA 50319-0106    Re:  Notice of Data Security Incident  Dear Attorney General Bird:  This letter is being provided in connection with a data security incident experienced by  VeriSource Services, Inc. (“VSI”). VSI provides employee administrative and benefit data  management services and is headquartered in Houston, Texas. For purposes of this round  of notification, the impacted data owners are companies that use VSI’s services for  employee administrative and benefit data management services. The purpose of this letter  is to notify you of the impact to Iowa residents in accordance with Iowa’s data breach  notification statute.  "
2025,4-25-2025,Lewis Central Community School District (Powerschool),https://www.iowaattorneygeneral.gov/media/cms/4252025_Lewis_Central_Community_Sch_0FF7DDB7B5F7D.pdf,,,,Unauthorized Access,"  David McMillan, Partner  Cybersecurity & Data Privacy Team  45 Main Street Suite 206  Brooklyn, NY 11201  dmcmillan@constangy.com   April 25, 2025      VIA EMAIL  Attorney General Brenna Bird  Office of the Attorney General  Consumer Protection Division  Security Breach Notifications  1305 E Walnut Street  Des Moines, IA 50319-0106  consumer@ag.iowa.gov     Re:  Notice of Data Security Incident    Dear Attorney General Bird:    Constangy, Brooks, Smith, and Prophete LLP represents Lewis Central Community School District  (“Lewis Central”) in connection with a data security incident experienced by PowerSchool, a third- party software vendor on which Lewis Central relies for its student information system (“SIS”).  The data security incident experienced by PowerSchool is described in greater detail below. The  purpose of this letter is to notify you of the incident in compliance with Iowa’s data breach  notification statute. This notice may be supplemented with any new significant fact"
2025,5-13-2025,Oxford Life Insurance Company,https://www.iowaattorneygeneral.gov/media/cms/5132025_Oxford_Life_Insurance_Compa_1B135646CE7C7.pdf,,,,Ransomware,"David H. Potter  direct dial: 312.416.6278  dpotter@bakerlaw.com              May 13, 2025    VIA EMAIL (CONSUMER@AG.IOWA.GOV)  Consumer Protection Division  Security Breach Notifications  Office of the Attorney General of Iowa  1305 E. Walnut Street  Des Moines, IA  50319-0106 Re:  Incident Notification      Dear Sir or Madam:  I am writing on behalf of our client, Oxford Life Insurance Company (“Oxford”) to notify your  office of a cybersecurity event. Oxford is headquartered in Phoenix, Arizona.    On February 20, 2025, Oxford was alerted by a user to suspicious activity on its IT network.  Oxford immediately took measures to contain the activity and initiated incident response protocols,  which included beginning an investigation with the assistance of a third-party forensic firm. This  event did not involve ransomware and Oxford’s systems were not encrypted. The investigation  determined that an unauthorized person accessed Oxford’s IT network for approximately one hour  on Februa"
