Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
"Oahu Transit Services, Inc. (TheBus, TheHandi-Van)",,2021/12.16,,,Hawaii,2000,Hackers/Unauthorized Access,
Statewide Safety System,,2021/11.23,,,Hawaii,1190,Hackers/Unauthorized Access,
Astoria Company,,2021/11.22,,,Hawaii,3290,Hackers/Unauthorized Access,
California Pizza Kitchen,,2021/11.15,,,Hawaii,4800,Hackers/Unauthorized Access,
University Medical Center of Southern Nevada,,2021/10.04,,,Hawaii,5798,Hackers/Unauthorized Access,
"Neiman Marcus Group, LLC",,2021/09.30,,,Hawaii,19070,Hackers/Unauthorized Access,
Hawaiian Dredging Construction Company,,2021/09.03,,,Hawaii,3756,Hackers/Unauthorized Access,
Arthur J. Gallagher & Co.,,2021/07.08,,,Hawaii,2345,Hackers/Unauthorized Access,
National Western Life Insurance Company,,2021/01.14,,,Hawaii,8373,Hackers/Unauthorized Access,
Foodland Super Market,,2021/04.23,,,Hawaii,35963,Hackers/Unauthorized Access,
Med-Data Incorporated,,2021/03.31,,,Hawaii,1396,Hackers/Unauthorized Access,
Flagstaff Bank,,2021/03.15,,,Hawaii,3494,Hackers/Unauthorized Access,
"Hawaii Payroll Services, LLC",,2021/06.22,,,Hawaii,4500,Hackers/Unauthorized Access,
"Herff Jones, LLC",,2021/06.18,,,Hawaii,3373,Hackers/Unauthorized Access,
"Atlas Insurance Agency, Inc.",,2021/06.12,,,Hawaii,1652,Hackers/Unauthorized Access,
Volkswagen Group of America,,2021/06.10,,,Hawaii,6261,Hackers/Unauthorized Access,
Waters & Kraus LLP,,2021/01.14,,,Hawaii,1339,Hackers/Unauthorized Access,
Zoetop Business Co. Ltd dba www.romwe.com,,2020/12.31,,,Hawaii,30382,Hackers/Unauthorized Access,
"Arbiter Sports, LLC",,2020/08.24,,,Hawaii,1223,Hackers/Unauthorized Access,
"Volusion, LLC",,2020/04.20,,,Hawaii,1480,Hackers/Unauthorized Access,
"Jambav, Inc. (""ToonDoo"")",,2019/12.20,,,Hawaii,7173,Hackers/Unauthorized Access,
Amateur Athletic Union,,2019/09.13,,,Hawaii,2977,Hackers/Unauthorized Access,
Oklahoma Department of Securities,,2019/06.25,,,Hawaii,1028,Hackers/Unauthorized Access,
Mediant Communications Inc.,,2019/06.13,,,Hawaii,1774,Hackers/Unauthorized Access,
flexPATH Strategies,,2019/03.15,,,Hawaii,1573,Hackers/Unauthorized Access,
"Thesy, LLC",,2018/11.08,,,Hawaii,2642,Hackers/Unauthorized Access,
Bankers Life,,2018/10.31,,,Hawaii,4328,Hackers/Unauthorized Access,
"ComplyRight, Inc.",,2018/07.25,,,Hawaii,3747,Hackers/Unauthorized Access,
Global University,,2018/05.30,,,Hawaii,1333,Hackers/Unauthorized Access,
"TaskRabbit, Inc.",,2018/05.18,,,Hawaii,4062,Hackers/Unauthorized Access,
"Delta Air Lines, Inc.",,2018/04.26,,,Hawaii,2831,Hackers/Unauthorized Access,
"Orbitz, LLC",,2018/04.04,,,Hawaii,1078,Hackers/Unauthorized Access,
"Aqua-Aston Hospitality, LLC",,2017/07.07,,,Hawaii,1056,Hackers/Unauthorized Access,
"Jackson Hewitt Tax Services, Inc.",,2017/04.28,,,Hawaii,5659,Hackers/Unauthorized Access,
"Nutrex Hawaii, Inc.",,2017/04.11,,,Hawaii,1168,Hackers/Unauthorized Access,
Tempur-Pedic,,2017/04.11,,,Hawaii,1302,Hackers/Unauthorized Access,
Plow & Hearth,,2017/04.11,,,Hawaii,1834,Hackers/Unauthorized Access,
prAna,,2017/03.09,,,Hawaii,1553,Hackers/Unauthorized Access,
"Spiraledge, Inc.",,2017/01.19,,,Hawaii,1823,Hackers/Unauthorized Access,
Active Outdoors,,2016/08.22,,,Hawaii,3984,Hackers/Unauthorized Access,
"doTERRA International, LLC",,2016/05.11,,,Hawaii,17315,Hackers/Unauthorized Access,
BaileysOnline.com,,2016/03.18,,,Hawaii,1319,Hackers/Unauthorized Access,
"Gyft, Inc.",,2016/02.09,,,Hawaii,1706,Hackers/Unauthorized Access,
"Matson Navigation Company, Inc.",,2015/12.31,,,Hawaii,1150,"Stolen Laptops, Computers & Equipment",
"Digital Theatre, LLC",,2015/11.12,,,Hawaii,1453,Hackers/Unauthorized Access,
Scottrade,,2015/10.12,,,Hawaii,32778,Hackers/Unauthorized Access,
Costco Photo Center,,2015/09.29,,,Hawaii,4436,Hackers/Unauthorized Access,
"Yapstone, Inc.",,2015/09.25,,,Hawaii,3486,Hackers/Unauthorized Access,
Hawaii First Federal Credit Union,,2015/09.03,,,Hawaii,5965,Hackers/Unauthorized Access,
UCLA Health Services,,2015/07.22,,,Hawaii,5446,Hackers/Unauthorized Access,
"Automotive Recovery Services, Inc. dba Vehicle Donation Processing Center",,2015/07.09,,,Hawaii,1163,Hackers/Unauthorized Access,
Premera Blue Cross,,2015/03.24,,,Hawaii,19174,Hackers/Unauthorized Access,
Oahu Publications,,2015/02.20,,,Hawaii,3543,Hackers/Unauthorized Access,
"Anthem, Inc.",,2015/02.15,,,Hawaii,18206,Hackers/Unauthorized Access,
"IBEW, Local 1357",,2014/12.19,,,Hawaii,4360,Lost in Transit,
Viator,,2014/09.23,,,Hawaii,2500,Hackers/Unauthorized Access,
"The Home Depot, Inc.",,2014/09.10,,,Hawaii,Unknown,Hackers/Unauthorized Access,
Time Northern Trust Company,,2014/07.29,,,Hawaii,1267,Release/Display of Information,
"AIG Life and Retirement, The Variable Annuity Life Insurance Co.",,2014/02.27,,,Hawaii,4015,Data Theft by Employee or Contractor,
Neiman Marcus Group,,2014/01.25,,,Hawaii,9680,Hackers/Unauthorized Access,
Target Corporation,,2013/12.20,,,Hawaii,121000,Hackers/Unauthorized Access,
Maricopa Community College,,2013/12.13,,,Hawaii,3828,Hackers/Unauthorized Access,
"J.P. Morgan Chase Bank, N.A.",,2013/12.09,,,Hawaii,3903,Hackers/Unauthorized Access,
Adobe Systems,,2013/10.09,,,Hawaii,9439,Hackers/Unauthorized Access,
"State of South Carolina, Dept. of Revenue",,2012/11.28,,,Hawaii,2394,Phishing,
"Trident University c/o Baker Hostetler, LLP",,2012/02.21,,,Hawaii,1423,Hackers/Unauthorized Access,
ABM Industries Incorporated,,2011/04.19,,,Hawaii,1523,"Stolen Laptops, Computers & Equipment",
"Health Net, Inc.",,2011/03.17,,,Hawaii,1175,Lost in Transit,
Pentagon Federal Credit Union,,2011/01.03,,,Hawaii,2916,Hackers/Unauthorized Access,
Lincoln Financial Advisors Corporation (LFA & LFS),,2010/01.05,,,Hawaii,2100,Hackers/Unauthorized Access,
"Network Solutions, Inc.",,2009/08.05,,,Hawaii,2350,Hackers/Unauthorized Access,
"Wyndham Hotels and Resorts, LLC",,2008/10.14,,,Hawaii,1000,Hackers/Unauthorized Access,
Punahou School,,2008/06.27,,,Hawaii,2067,"Stolen Laptops, Computers & Equipment",
"24 Hour Fitness USA, Inc.",,2008/07.11,,,Hawaii,1506,"Stolen Laptops, Computers & Equipment",
National Western Life Insurance Company,,2008/06.26,,,Hawaii,1011,Release/Display of Information,
Lending Tree,,2008/04.18,,,Hawaii,8368,Data Theft by Employee or Contractor,
GE Money-Americas,,2007/12.27,,,Hawaii,1181,Data Theft by Employee or Contractor,
Gap Inc.,,2009/09.28,,,Hawaii,2100,"Stolen Laptops, Computers & Equipment",
TD Ameritrade,,2007/09.14,,,Hawaii,33157,Hackers/Unauthorized Access,
"Walt Disney Company, The dba Buena Vista Catalogue Company",,2007/07.13,,,Hawaii,2457,Data Theft by Employee or Contractor,
"Fidelity National Information Services, Inc. dba FIS",,2007/07.04,,,Hawaii,6000,Data Theft by Employee or Contractor,
"Receivables Performance Management, LLC",,2022/11.21,,,Hawaii,8529,Hackers/Unathorized Access,
Community Loan Servicing,,2022/12.08,,,Hawaii,1447,Hackers/Unauthorized Access,
Sleep Center Hawaii,,2023/01.27,,,Hawaii,5097,Hackers/Unauthorized Access,
Aloha Nursing Rehab Centre,,2023/02.24,,,Hawaii,12096,Hackers/Unauthorized Access,
Sysco Corporation,,2023/05.17,,,Hawaii,1186,Hackers/Unauthorized Access,
"NCB Management Services, Inc.",,2023/05.22,,,Hawaii,4145,Hackers/Unauthorized,
Wilton Reassurance Company,,2023/06.23,,,Hawaii,3528,Hackers/Unauthorized,
Talcott Resolution Life Insurance Company,,2023/06.26,,,Hawaii,1802,Hackers/Unauthorized,
"Genworth Financial, Inc.",,2023/07.02,,,Hawaii,14407,Hackers/Unauthorized Access,
Transamerica Life Insurance Company,,2023/07.25,,,Hawaii,2250,Hackers/Unauthorized,
Teachers Insurance and Annuity Association of America (TIAA),,2023/07.27,,,Hawaii,10322,Hackers/Unauthorized Access,
Milliman Solutions dba Milliman Intelliscript,,2023/07.28,,,Hawaii,6669,Hackers/Unauthorized Access,
Sun Life Assurance Company of Canada,,2023/08.22,,,Hawaii,3222,Hacker/Unauthorized Access,
Lumico Life Insurance Company / Elips Life Insurance Company,,2023/08.08,,,Hawaii,1006,Hacker/Unauthorized Access,
"Corebridge Financial, INC",,2023/08.14,,,Hawaii,27651,Hacker/Unauthorized Access,
Progressive Casualty Insurance Company,,2023/08.01,,,Hawaii,1044,Hacker/Unauthorized Access,
Delaware Life Insurance Company,,2023/07.28,,,Hawaii,2013,Hacker/Unauthorized Access,
F21 OPCP LLC,,2023/08.29,,,Hawaii,4645,Hacker/Unauthorized Access,
Aloha Pacific Federal Credit Union,,2023/08.30,,,Hawaii,5409,Hacker/Unauthorized Access,
"American National Group, LLC",,2023/08.07,,,Hawaii,1284,Hacker/Unauthorized Access,
Hartford Life and Accident Insurance Company,,2023/08.03,,,Hawaii,1796,Hacker/Unauthorized Access,
"EP Global Production Solutions, LLC",,2023/08.11,,,Hawaii,3340,Hacker/Unauthorized Access,
CMFG Life Insurance Company / Members Life Insurance Company,,2023/08.14,,,Hawaii,5236,Hacker/Unauthorized Access,
Illumifin Corporation,,2023/08.25,,,Hawaii,3895,Hacker/Unauthorized Access,
"Pension Benefit Information, LLC / Progress Software Corporation",,2023/08.24,,,Hawaii,2004,Hacker/Unauthorized Access,
"The Global Atlanic Financial Group, LLC",,2023/08.24,,,Hawaii,4949,Hacker/Unauthorized Access,
Sun Life Assurance Company of Canada,,2023/8.22,,,Hawaii,3282,Hackers/Unauthorized Access,
Harford Life and Accident Insurance Company,,2023/8.8,,,Hawaii,1414,Hackers/Unauthorized Access,
Athene Annuity and Life Company,,2023/9.14,,,Hawaii,1068,Hackers/Unauthorized Access,
Massachusetts Mutual Life Insurance,,2023/9.15,,,Hawaii,7160,Hackers/Unauthorized Access,
"Caesars Entertainment, Inc.",,2023/10.11,,,Hawaii,165271,Hackers/Unauthorized Access,
"Maximus, Inc.",,2023/8.26,,,Hawaii,2807,Hackers/Unauthorized Access,
AlohaCare,,2023/11.3,,,Hawaii,8898,Hackers/Unauthorized Access,
NSC Technologies,,2023/11.21,,,Hawaii,1249,Hackers/Unauthorized Access,
Nationstar Mortgage (dba Mr. Cooper),,2023/12.5,,,Hawaii,55958,Hackers/Unauthorized Access,
"LoanCare, LLC (Fidelity National Financial, Inc.)",,2023/12.22,,,Hawaii,3732,Hackers/Unauthorized Access,
