Organization,Industry,Date Reported,Date of Incident,Date of Discovery,State,Residents Affected,Breach Type,Notes
210 Footwear Foundation,,12/18/2007,,,Massachusetts,Unknown,Unknown,
"Family Health Center of
Worcester",,12/20/2007,,,Massachusetts,Unknown,Unknown,
UMass Memorial,,12/20/2007,,,Massachusetts,Unknown,Unknown,
Watertown Public Schools,,12/21/2007,,,Massachusetts,Unknown,Unknown,
HSBC Mortgage Corporation,,12/21/2007,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,12/21/2007,,,Massachusetts,Unknown,Unknown,
"Electrical Workers Deferred
Income Fund Local 103, I.B.E.W",,12/24/2007,,,Massachusetts,Unknown,Unknown,
Harvard University,,1/8/2008,,,Massachusetts,Unknown,Unknown,
Prudential Financial,,1/9/2008,,,Massachusetts,Unknown,Unknown,
Robotic Industries Association,,1/14/2008,,,Massachusetts,Unknown,Unknown,
T. Rowe Price,,1/14/2008,,,Massachusetts,Unknown,Unknown,
Franklin University,,1/16/2008,,,Massachusetts,Unknown,Unknown,
Northeastern Universtiy,,1/17/2008,,,Massachusetts,Unknown,Unknown,
"Science Applications International
Corporation",,1/18/2008,,,Massachusetts,Unknown,Unknown,
Mariner Health Care,,1/23/2008,,,Massachusetts,Unknown,Unknown,
"Sava Senior Care Administrative
Services",,1/23/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts General
Physicians Organization (MGPO)",,1/25/2008,,,Massachusetts,Unknown,Unknown,
GE Aviation Systems,,1/25/2008,,,Massachusetts,Unknown,Unknown,
Target Financial Services,,1/25/2008,,,Massachusetts,Unknown,Unknown,
The Hartford,,1/25/2008,,,Massachusetts,Unknown,Unknown,
Fallon Community Health Plan,,1/25/2008,,,Massachusetts,Unknown,Unknown,
Comcast,,1/29/2008,,,Massachusetts,Unknown,Unknown,
Philips Lighting Company,,1/30/2008,,,Massachusetts,Unknown,Unknown,
Kiwanis International,,2/1/2008,,,Massachusetts,Unknown,Unknown,
"Heartland Payment Systems, Inc.",,2/3/2008,,,Massachusetts,Unknown,Unknown,
NSK Americas,,2/4/2008,,,Massachusetts,Unknown,Unknown,
"Canadian Standards Association
(CSA)",,2/5/2008,,,Massachusetts,Unknown,Unknown,
"Administrative Systems, Inc.",,2/5/2008,,,Massachusetts,Unknown,Unknown,
Putnam Investments,,2/6/2008,,,Massachusetts,Unknown,Unknown,
LexisNexis,,2/6/2008,,,Massachusetts,Unknown,Unknown,
D.A. Davidson & CO.,,2/7/2008,,,Massachusetts,Unknown,Unknown,
Salesforce.com,,2/7/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,2/8/2008,,,Massachusetts,Unknown,Unknown,
Cross Country Staffing,,2/8/2008,,,Massachusetts,Unknown,Unknown,
"Cross Country Travcorps, Inc.,
NovaPro, Inc., and Assignment
America, Inc. dba Cross Country
Staffin",,2/8/2008,,,Massachusetts,Unknown,Unknown,
Sun Life Financial,,2/11/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,2/11/2008,,,Massachusetts,Unknown,Unknown,
Bank of America,,2/13/2008,,,Massachusetts,Unknown,Unknown,
MBSC Securities Corporation,,2/14/2008,,,Massachusetts,Unknown,Unknown,
SYDA Foundation,,2/14/2008,,,Massachusetts,Unknown,Unknown,
"Mass. General Physicians
Organization",,2/14/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,2/14/2008,,,Massachusetts,Unknown,Unknown,
The Hartford,,2/15/2008,,,Massachusetts,Unknown,Unknown,
Marlborough Hospital,,2/15/2008,,,Massachusetts,Unknown,Unknown,
QVC,,2/19/2008,,,Massachusetts,Unknown,Unknown,
J. Lohr Vineyards & Wines,,2/19/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOE,,2/19/2008,,,Massachusetts,Unknown,Unknown,
Philips Lighting Company,,2/25/2008,,,Massachusetts,Unknown,Unknown,
Republic Bank & Trust Company,,2/27/2008,,,Massachusetts,Unknown,Unknown,
Nestle Waters North America Inc.,,2/27/2008,,,Massachusetts,Unknown,Unknown,
"Boston Private Bank & Trust
Company",,2/29/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,3/3/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,3/5/2008,,,Massachusetts,Unknown,Unknown,
Kraft Foods,,3/5/2008,,,Massachusetts,Unknown,Unknown,
"LEAF Financial Corporation
Merit Capital Advance, LLC",,3/6/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,3/6/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,3/7/2008,,,Massachusetts,Unknown,Unknown,
"Education Management
Corporation",,3/7/2008,,,Massachusetts,Unknown,Unknown,
"Starling Insurance and
Associates",,3/10/2008,,,Massachusetts,Unknown,Unknown,
"F.A. Carmichael Dentistry, Inc.",,3/11/2008,,,Massachusetts,Unknown,Unknown,
Priority Health,,3/11/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOE,,3/11/2008,,,Massachusetts,Unknown,Unknown,
Wolters Kluwer,,3/11/2008,,,Massachusetts,Unknown,Unknown,
Harvard University,,3/12/2008,,,Massachusetts,Unknown,Unknown,
MTV Networks,,3/12/2008,,,Massachusetts,Unknown,Unknown,
The Dental Network,,3/12/2008,,,Massachusetts,Unknown,Unknown,
The Dental Network,,3/12/2008,,,Massachusetts,Unknown,Unknown,
Lasell College,,3/13/2008,,,Massachusetts,Unknown,Unknown,
MTV Networks,,3/13/2008,,,Massachusetts,Unknown,Unknown,
3M,,3/14/2008,,,Massachusetts,Unknown,Unknown,
"Toshiba America Information
Systems,Inc.",,3/14/2008,,,Massachusetts,Unknown,Unknown,
"Northeast Investors Trust and
Investors Growth Fund",,3/18/2008,,,Massachusetts,Unknown,Unknown,
"Griffin Electric, Inc.",,3/20/2008,,,Massachusetts,Unknown,Unknown,
Camp Starfish,,3/20/2008,,,Massachusetts,Unknown,Unknown,
"Toshiba America Information
Systems, Inc.",,3/21/2008,,,Massachusetts,Unknown,Unknown,
Genworth Finanical,,3/21/2008,,,Massachusetts,Unknown,Unknown,
Genica Corporation,,3/21/2008,,,Massachusetts,Unknown,Unknown,
"Pfizer, Inc.",,3/24/2008,,,Massachusetts,Unknown,Unknown,
CitiBank,,3/24/2008,,,Massachusetts,Unknown,Unknown,
"Merrimack Mortgage Company,
Inc.",,3/24/2008,,,Massachusetts,Unknown,Unknown,
"Zurich American Insurance
Company",,3/24/2008,,,Massachusetts,Unknown,Unknown,
"Genworth Life and Annuity
Insurance Company",,3/25/2008,,,Massachusetts,Unknown,Unknown,
"Hannaford Bros, Co.",,3/25/2008,,,Massachusetts,Unknown,Unknown,
"Infinity Pharmaceuticals, Inc.",,3/26/2008,,,Massachusetts,Unknown,Unknown,
"THQ, Inc.",,3/27/2008,,,Massachusetts,Unknown,Unknown,
Museum of Science,,3/27/2008,,,Massachusetts,Unknown,Unknown,
"Eastern Sales & Marketing, New
England",,3/28/2008,,,Massachusetts,Unknown,Unknown,
Genworth Financial,,3/28/2008,,,Massachusetts,Unknown,Unknown,
Men's Warehouse,,3/28/2008,,,Massachusetts,Unknown,Unknown,
"Bank of New York Mellon
Shareowner Services",,3/28/2008,,,Massachusetts,Unknown,Unknown,
"Marriott International, Inc.",,3/31/2008,,,Massachusetts,Unknown,Unknown,
Synovus Financial Corp.,,3/31/2008,,,Massachusetts,Unknown,Unknown,
CitiStreet LLC,,3/31/2008,,,Massachusetts,Unknown,Unknown,
Citizens Bank,,3/31/2008,,,Massachusetts,Unknown,Unknown,
UniCare,,4/2/2008,,,Massachusetts,Unknown,Unknown,
Sentinel Benefits,,4/2/2008,,,Massachusetts,Unknown,Unknown,
"Agilant Technologies, Inc.",,4/4/2008,,,Massachusetts,Unknown,Unknown,
Unicare,,4/4/2008,,,Massachusetts,Unknown,Unknown,
International IOR Rectifier,,4/5/2008,,,Massachusetts,Unknown,Unknown,
"Siemens Healthcare Diagnostics
Inc.",,4/7/2008,,,Massachusetts,Unknown,Unknown,
GMAC Insurance,,4/8/2008,,,Massachusetts,Unknown,Unknown,
"Interbank FX, LLC",,4/10/2008,,,Massachusetts,Unknown,Unknown,
Stryker Instruments,,4/11/2008,,,Massachusetts,Unknown,Unknown,
Aon Corporation,,4/11/2008,,,Massachusetts,Unknown,Unknown,
Fidelity Investments,,4/11/2008,,,Massachusetts,Unknown,Unknown,
Okemo Mountain Resort,,4/14/2008,,,Massachusetts,Unknown,Unknown,
Marshall & Ilsley Corporation,,4/14/2008,,,Massachusetts,Unknown,Unknown,
Mortgage Network,,4/15/2008,,,Massachusetts,Unknown,Unknown,
Aon Corporation,,4/15/2008,,,Massachusetts,Unknown,Unknown,
"Purdue Pharma, LP",,4/16/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - GIC,,4/16/2008,,,Massachusetts,Unknown,Unknown,
Citi,,4/16/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - RMV,,4/17/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - RMV,,4/17/2008,,,Massachusetts,Unknown,Unknown,
"Central New England Health
Alliance",,4/17/2008,,,Massachusetts,Unknown,Unknown,
X.L. Global Services Inc.,,4/18/2008,,,Massachusetts,Unknown,Unknown,
Columbia Capital LLC,,4/21/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DPL,,4/22/2008,,,Massachusetts,Unknown,Unknown,
Lending Tree,,4/22/2008,,,Massachusetts,Unknown,Unknown,
SPX Corporation,,4/22/2008,,,Massachusetts,Unknown,Unknown,
Mass General Hospital,,4/22/2008,,,Massachusetts,Unknown,Unknown,
Swimwear Boutique.com,,4/22/2008,,,Massachusetts,Unknown,Unknown,
"Ameriprise Financial, Inc.",,4/23/2008,,,Massachusetts,Unknown,Unknown,
Sterling Commerce,,4/23/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,4/23/2008,,,Massachusetts,Unknown,Unknown,
Promissor,,4/24/2008,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA
Teachers' Retirement System",,4/25/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,4/25/2008,,,Massachusetts,Unknown,Unknown,
Yeshiva University,,4/28/2008,,,Massachusetts,Unknown,Unknown,
HSBC Retail Services,,4/28/2008,,,Massachusetts,Unknown,Unknown,
Bank of America,,4/28/2008,,,Massachusetts,Unknown,Unknown,
"Kindred Rehab Sercvices, Inc.",,5/5/2008,,,Massachusetts,Unknown,Unknown,
Sterling Jewelers Inc.,,5/5/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,5/5/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,5/5/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,5/5/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,5/5/2008,,,Massachusetts,Unknown,Unknown,
Argosy University,,5/5/2008,,,Massachusetts,Unknown,Unknown,
"Adobe Systems Incorporated
(""Adobe"")",,5/5/2008,,,Massachusetts,Unknown,Unknown,
"Rehabilitation Hospital of the
Cape and Islands",,5/6/2008,,,Massachusetts,Unknown,Unknown,
Boch Enterprises,,5/7/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,5/8/2008,,,Massachusetts,Unknown,Unknown,
Bryant & Stratton College,,5/9/2008,,,Massachusetts,Unknown,Unknown,
Progressive Insurance,,5/9/2008,,,Massachusetts,Unknown,Unknown,
Sodexo,,5/12/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,5/12/2008,,,Massachusetts,Unknown,Unknown,
"BearingPoint Management &
Technology Consultants",,5/12/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,5/12/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOI,,5/15/2008,,,Massachusetts,Unknown,Unknown,
Capella University,,5/16/2008,,,Massachusetts,Unknown,Unknown,
Axcess Financial,,5/16/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,5/19/2008,,,Massachusetts,Unknown,Unknown,
Automotive Events,,5/19/2008,,,Massachusetts,Unknown,Unknown,
Wells Fargo,,5/19/2008,,,Massachusetts,Unknown,Unknown,
"Citi - CAI Hedge Fund Partners,
LLC",,5/22/2008,,,Massachusetts,Unknown,Unknown,
The Connecting Link,,5/23/2008,,,Massachusetts,Unknown,Unknown,
AT&T,,5/23/2008,,,Massachusetts,Unknown,Unknown,
"Jackson National Life Insurance
Company",,5/25/2008,,,Massachusetts,Unknown,Unknown,
"Jackson National Life Insurance
Company",,5/27/2008,,,Massachusetts,Unknown,Unknown,
"RE Moulton, Inc.",,5/27/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,5/27/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,5/27/2008,,,Massachusetts,Unknown,Unknown,
State Street Bank and Trust,,5/29/2008,,,Massachusetts,Unknown,Unknown,
Bank of New York Mellon,,5/30/2008,,,Massachusetts,Unknown,Unknown,
1st Source Bank,,6/2/2008,,,Massachusetts,Unknown,Unknown,
SallieMae,,6/2/2008,,,Massachusetts,Unknown,Unknown,
Crabtree & Evelyn,,6/2/2008,,,Massachusetts,Unknown,Unknown,
"Gap, Inc.",,6/2/2008,,,Massachusetts,Unknown,Unknown,
"Ameriprise Financial Services,
Inc.",,6/2/2008,,,Massachusetts,Unknown,Unknown,
1st Source Bank,,6/2/2008,,,Massachusetts,Unknown,Unknown,
Quest Diagnostics Inc.,,6/3/2008,,,Massachusetts,Unknown,Unknown,
"Shaughnessy-Kaplan
Rehabilitation Hospital",,6/4/2008,,,Massachusetts,Unknown,Unknown,
"Financial Industry Regulatory
Authority",,6/4/2008,,,Massachusetts,Unknown,Unknown,
H&R Block,,6/5/2008,,,Massachusetts,Unknown,Unknown,
"CA, Inc.",,6/6/2008,,,Massachusetts,Unknown,Unknown,
"BearingPoint Management &
Technology Consultants",,6/9/2008,,,Massachusetts,Unknown,Unknown,
Enterprise Bank,,6/9/2008,,,Massachusetts,Unknown,Unknown,
"Facebook, Inc.",,6/9/2008,,,Massachusetts,Unknown,Unknown,
"Credit Bureau of Traverse City,
Inc.",,6/9/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,6/9/2008,,,Massachusetts,Unknown,Unknown,
United Transportation Union,,6/9/2008,,,Massachusetts,Unknown,Unknown,
"Sungard Availability Services
(SAS)",,6/10/2008,,,Massachusetts,Unknown,Unknown,
Moravian College,,6/13/2008,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA -
Department of the State
Treasurer",,6/16/2008,,,Massachusetts,Unknown,Unknown,
Quixtar Inc.,,6/16/2008,,,Massachusetts,Unknown,Unknown,
"CNET Networks, Inc.",,6/16/2008,,,Massachusetts,Unknown,Unknown,
TomTom Inc.,,6/18/2008,,,Massachusetts,Unknown,Unknown,
"Highland Capital Brokerage, Inc.",,6/18/2008,,,Massachusetts,Unknown,Unknown,
"Ebara Technologies, Inc",,6/19/2008,,,Massachusetts,Unknown,Unknown,
"All Covered, Inc.",,6/20/2008,,,Massachusetts,Unknown,Unknown,
"Zhone Technologies, Inc.",,6/20/2008,,,Massachusetts,Unknown,Unknown,
Aon Corporation,,6/20/2008,,,Massachusetts,Unknown,Unknown,
"Allstate Financial Services, LLC",,6/20/2008,,,Massachusetts,Unknown,Unknown,
"Citizens Financial Group, Inc.",,6/23/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,6/23/2008,,,Massachusetts,Unknown,Unknown,
Xlibris Corporation,,6/23/2008,,,Massachusetts,Unknown,Unknown,
"Bebe Stores, Inc.",,6/23/2008,,,Massachusetts,Unknown,Unknown,
Citizens Bank,,6/23/2008,,,Massachusetts,Unknown,Unknown,
"Synopsys, Inc.",,6/24/2008,,,Massachusetts,Unknown,Unknown,
"SunGard Data System, Inc.",,6/25/2008,,,Massachusetts,Unknown,Unknown,
Heald College,,6/25/2008,,,Massachusetts,Unknown,Unknown,
"St. Vincent's Hospital
Vanguard Health Systems",,6/26/2008,,,Massachusetts,Unknown,Unknown,
Nielsen Mobile,,6/26/2008,,,Massachusetts,Unknown,Unknown,
UMass Memorial,,6/26/2008,,,Massachusetts,Unknown,Unknown,
JDS Uniphase,,6/26/2008,,,Massachusetts,Unknown,Unknown,
Vanguard Health Systems,,6/26/2008,,,Massachusetts,Unknown,Unknown,
UMass Memorial Medical Center,,6/26/2008,,,Massachusetts,Unknown,Unknown,
Verizon,,6/27/2008,,,Massachusetts,Unknown,Unknown,
"Google, Inc.",,6/27/2008,,,Massachusetts,Unknown,Unknown,
"National Western Life Insurane
company",,7/1/2008,,,Massachusetts,Unknown,Unknown,
Houghton Mifflin Harcourt,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/2/2008,,,Massachusetts,Unknown,Unknown,
Bankers Benefits,,7/3/2008,,,Massachusetts,Unknown,Unknown,
"Fischbach, LLC",,7/7/2008,,,Massachusetts,Unknown,Unknown,
"Direct Marketing Services, Inc.",,7/7/2008,,,Massachusetts,Unknown,Unknown,
Fremont Group,,7/7/2008,,,Massachusetts,Unknown,Unknown,
"PDL BioPharma, Inc",,7/7/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,7/7/2008,,,Massachusetts,Unknown,Unknown,
New England Baptist Hospital,,7/8/2008,,,Massachusetts,Unknown,Unknown,
Bowdoin College,,7/9/2008,,,Massachusetts,Unknown,Unknown,
Willis Group Holdings Limited,,7/11/2008,,,Massachusetts,Unknown,Unknown,
Stanadyne Corporation,,7/14/2008,,,Massachusetts,Unknown,Unknown,
Oakland University,,7/14/2008,,,Massachusetts,Unknown,Unknown,
Bristol-Myers Squibb Company,,7/14/2008,,,Massachusetts,Unknown,Unknown,
"R.H.Donnelley, Inc.",,7/14/2008,,,Massachusetts,Unknown,Unknown,
"Gilead Sciences, Inc.",,7/14/2008,,,Massachusetts,Unknown,Unknown,
Heinemann-Raintree Publishers,,7/15/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/15/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/15/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/15/2008,,,Massachusetts,Unknown,Unknown,
Honeywell International Inc.,,7/17/2008,,,Massachusetts,Unknown,Unknown,
"Integrated Device Technology,
Inc.",,7/17/2008,,,Massachusetts,Unknown,Unknown,
"24 Hour Fitness USA, Inc.",,7/17/2008,,,Massachusetts,Unknown,Unknown,
"Exponent, Inc.",,7/17/2008,,,Massachusetts,Unknown,Unknown,
TeleAtlas,,7/21/2008,,,Massachusetts,Unknown,Unknown,
"The Commonwealth of MA -
Health Insurance Connector
Authority",,7/21/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/21/2008,,,Massachusetts,Unknown,Unknown,
"Beth Israel Deaconess Health
Care",,7/22/2008,,,Massachusetts,Unknown,Unknown,
Anheuser Busch,,7/25/2008,,,Massachusetts,Unknown,Unknown,
LPL Financial Corporation,,7/25/2008,,,Massachusetts,Unknown,Unknown,
Bank of America,,7/25/2008,,,Massachusetts,Unknown,Unknown,
"Kana Software, Inc.",,7/28/2008,,,Massachusetts,Unknown,Unknown,
"Colt Express Outsourcing
Services Inc.",,7/28/2008,,,Massachusetts,Unknown,Unknown,
Macro International Inc.,,7/28/2008,,,Massachusetts,Unknown,Unknown,
Huron Consulting Group,,7/28/2008,,,Massachusetts,Unknown,Unknown,
HSBC Auto Finance Inc.,,7/29/2008,,,Massachusetts,Unknown,Unknown,
The Walt Disney Company,,7/29/2008,,,Massachusetts,Unknown,Unknown,
"Boston Medical Center HealthNet
Plan",,7/30/2008,,,Massachusetts,Unknown,Unknown,
"Franklin Templeton Investor
Services, LLC",,7/30/2008,,,Massachusetts,Unknown,Unknown,
Bank of New York Mellon,,7/30/2008,,,Massachusetts,Unknown,Unknown,
Northeastern University,,7/31/2008,,,Massachusetts,Unknown,Unknown,
"New York Life Insurance
Company",,7/31/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,7/31/2008,,,Massachusetts,Unknown,Unknown,
Wells Fargo,,8/1/2008,,,Massachusetts,Unknown,Unknown,
"North Shore Medical Center
Salem Hospital",,8/4/2008,,,Massachusetts,Unknown,Unknown,
Alaska Airlines,,8/5/2008,,,Massachusetts,Unknown,Unknown,
Northeastern University,,8/7/2008,,,Massachusetts,Unknown,Unknown,
Bank of America,,8/8/2008,,,Massachusetts,Unknown,Unknown,
"Jackson National Life Insurance
Company",,8/8/2008,,,Massachusetts,Unknown,Unknown,
GMAC Mortgage,,8/11/2008,,,Massachusetts,Unknown,Unknown,
GMAC Ditech,,8/11/2008,,,Massachusetts,Unknown,Unknown,
"Blue Cross Blue Shield of
Georgia",,8/11/2008,,,Massachusetts,Unknown,Unknown,
Charter Communications,,8/11/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,8/12/2008,,,Massachusetts,Unknown,Unknown,
USAA Brokerage Services,,8/12/2008,,,Massachusetts,Unknown,Unknown,
Goldman Sachs & Co.,,8/12/2008,,,Massachusetts,Unknown,Unknown,
Countrywide,,8/12/2008,,,Massachusetts,Unknown,Unknown,
The Hartford,,8/12/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,8/14/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,8/14/2008,,,Massachusetts,Unknown,Unknown,
Rockland Trust Company,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/14/2008,,,Massachusetts,Unknown,Unknown,
Centillium Communications,,8/19/2008,,,Massachusetts,Unknown,Unknown,
"InterActive Financial Marketing
Group",,8/20/2008,,,Massachusetts,Unknown,Unknown,
Sheridan State Bank,,8/21/2008,,,Massachusetts,Unknown,Unknown,
First State Bank of Pinedale,,8/21/2008,,,Massachusetts,Unknown,Unknown,
Pine Manor College,,8/21/2008,,,Massachusetts,Unknown,Unknown,
First State Bank of Pinedale,,8/21/2008,,,Massachusetts,Unknown,Unknown,
Union Standard,,8/25/2008,,,Massachusetts,Unknown,Unknown,
The College Board,,8/25/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,8/28/2008,,,Massachusetts,Unknown,Unknown,
Bill Dube Hyundai,,8/28/2008,,,Massachusetts,Unknown,Unknown,
United Bank of Idaho,,8/28/2008,,,Massachusetts,Unknown,Unknown,
Jackson State Bank & Trust,,8/28/2008,,,Massachusetts,Unknown,Unknown,
"Nye Lubricants, Inc",,8/28/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,8/28/2008,,,Massachusetts,Unknown,Unknown,
"Bank of New York Shareowner
Services",,8/29/2008,,,Massachusetts,Unknown,Unknown,
Aetna,,9/2/2008,,,Massachusetts,Unknown,Unknown,
Shoshone First Bank,,9/2/2008,,,Massachusetts,Unknown,Unknown,
"Bear, Stearns Securities Corp",,9/4/2008,,,Massachusetts,Unknown,Unknown,
Fresenius Medical Care,,9/4/2008,,,Massachusetts,Unknown,Unknown,
"Boston Private Bank & Trust
Company",,9/4/2008,,,Massachusetts,Unknown,Unknown,
Rochester Institute of Technology,,9/4/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Teachers
Association",,9/8/2008,,,Massachusetts,Unknown,Unknown,
"U.S. Foodservice, Inc.",,9/8/2008,,,Massachusetts,Unknown,Unknown,
Franklin Savings,,9/8/2008,,,Massachusetts,Unknown,Unknown,
UBS Financial Services Inc.,,9/11/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,9/11/2008,,,Massachusetts,Unknown,Unknown,
Countrywide Home Loans,,9/11/2008,,,Massachusetts,Unknown,Unknown,
Vanguard,,9/15/2008,,,Massachusetts,Unknown,Unknown,
Faulkner Hospital,,9/15/2008,,,Massachusetts,Unknown,Unknown,
"Bank of NY Mellon Shareowner
Services",,9/16/2008,,,Massachusetts,Unknown,Unknown,
Forever Twenty One,,9/19/2008,,,Massachusetts,Unknown,Unknown,
The Commonwealth of MA - DOR,,9/22/2008,,,Massachusetts,Unknown,Unknown,
"Massachusetts Mutual Life
Insurance Company",,9/22/2008,,,Massachusetts,Unknown,Unknown,
